;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;AGUIAR;Vereador;10000;FRANCISCO BARBOSA;CHARLES;PRB / AGUIAR EM BOAS MAOS;330;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;14789;MARIA PEREIRA RODRIGUES;MARIA DE;PTB / AGUIAR EM BOAS MAOS;326;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;45123;MARIA DE LOURDES SOUSA;LOURDES REGINA;PSDB / AGUIAR EM BOAS MAOS;276;Eleito por 
;2016;1º Turno;AGUIAR;Vereador;14444;JOSE ALVES DE ALBUQUERQUE;ZÉ DE SINHÔ;PTB / AGUIAR EM BOAS MAOS;160;Suplente
;2016;1º Turno;AGUIAR;Vereador;28000;MARIA DE FATIMA VIEIRA;FATIMA VIEIRA;PRTB / Por um Novo Aguiar;120;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;17123;FRANCISCO GOMES DE;CHICO CORNÉLIO;PSL / Por um Novo Aguiar;116;Suplente
;2016;1º Turno;AGUIAR;Vereador;14777;MARIA DO SOCORRO DE;CORRINHA;PTB / AGUIAR EM BOAS MAOS;98;Suplente
;2016;1º Turno;AGUIAR;Vereador;90000;ANTONIA RITA DE LACERDA;NININHA DE VAN;PROS / Por um Novo Aguiar;98;Suplente
;2016;1º Turno;AGUIAR;Vereador;33333;DAMIAO ROSENO DE SOUSA;DAMIAO ROSENO;PMN / AGUIAR EM BOAS MAOS;60;Suplente
;2016;1º Turno;AGUIAR;Vereador;14111;FRANCISCO VALDIVINO DA;PROFESSOR FRANÇA;PTB / AGUIAR EM BOAS MAOS;60;Suplente
;2016;1º Turno;AGUIAR;Vereador;90777;AILTON SILVA ALVES;JOVEM AILTON;PROS / Por um Novo Aguiar;27;Suplente
;2016;1º Turno;AGUIAR;Vereador;20333;ANA TEREZA DE LIMA GOMES;ANA CABOCA;PSC / Por um Novo Aguiar;18;Suplente
;2016;1º Turno;AGUIAR;Vereador;54555;FRANCISCO PEREIRA DE SOUSA;FANCA;PPL / MUDA AGUIAR;14;Não eleito
;2016;1º Turno;AGUIAR;Vereador;23456;SAMUEL RUFINO DOS SANTOS;SAMUCA;PPS / Por um Novo Aguiar;4;Suplente
;2016;1º Turno;AGUIAR;Vereador;54444;EDMILSON GUEDES DA SILVA;EDMILSON GUEDES;PPL / MUDA AGUIAR;3;Não eleito
;2016;1º Turno;AGUIAR;Vereador;45666;ROMANA MARIA NETA DE;ROMANA;PSDB / AGUIAR EM BOAS MAOS;3;Suplente
;2016;1º Turno;AGUIAR;Vereador;54123;MARIA DE FÁTIMA NUNES;FATINHA DE CHICO;PPL / MUDA AGUIAR;3;Não eleito
;2016;1º Turno;ALAGOA GRANDE;Prefeito;55;ANTONIO DA SILVA SOBRINHO;SOBRINHO;PSD / MUDANÇA E TRABALHO;7474;Eleito
;2016;1º Turno;ALAGOA GRANDE;Prefeito;40;JOSILDO DE OLIVEIRA LIMA;JOSILDO OLIVEIRA;PSB / A FORÇA DO TRABALHO;6704;Não eleito
