COD_MUNICIPIO_TSE;UF;MUNICIPIO;ELEITORADO APTO;FEMININO;MASCULINO;NÃO INFORMADO;16 ANOS;17 ANOS;18 A 20 ANOS;21 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 A 69 ANOS;70 A 79 ANOS;SUPERIOR A 79 ANOS;INVÁLIDA
81361;SC;IOMERÊ;2856;1442;1414;0;25;39;132;203;564;485;789;330;196;93;0
81493;SC;IPIRA;3773;1904;1869;0;40;48;192;255;632;622;992;509;305;178;0
80020;SC;IPORÃ DO OESTE;7027;3483;3544;0;36;72;381;600;1396;1213;1865;868;430;166;0
80829;SC;IPUAÇU;5081;2527;2554;0;69;131;429;529;1092;933;1104;451;200;143;0
81515;SC;IPUMIRIM;5917;2949;2968;0;40;75;287;493;1162;1017;1578;714;386;165;0
80187;SC;IRACEMINHA;3853;1878;1975;0;68;75;214;305;751;607;1006;459;274;94;0
81531;SC;IRANI;7303;3654;3649;0;42;88;468;634;1564;1326;1848;803;359;171;0
80861;SC;IRATI;1945;916;1029;0;13;36;123;185;435;307;483;208;117;38;0
81558;SC;IRINEÓPOLIS;7961;3909;4052;0;84;109;455;658;1706;1585;1932;706;405;321;0
81574;SC;ITÁ;6021;2981;3040;0;42;75;314;443;1228;1131;1504;703;361;220;0
81590;SC;ITAIÓPOLIS;16303;8032;8271;0;91;163;1039;1490;3538;3189;3756;1554;908;575;0
81612;SC;ITAJAÍ;143131;75190;67941;0;292;772;7808;12425;32908;29418;35454;13665;6015;4374;0
81639;SC;ITAPEMA;37778;19762;18016;0;151;330;2218;3206;8250;7666;9483;4084;1674;716;0
81655;SC;ITAPIRANGA;11991;6003;5988;0;88;147;694;1084;2522;2193;3082;1337;659;185;0
81663;SC;ITAPOÁ;13788;6970;6818;0;95;151;632;952;2622;2547;3659;1966;843;321;0
81671;SC;ITUPORANGA;17876;9034;8842;0;93;194;1112;1692;3987;3262;4494;1770;904;368;0
