;Eleição;Localidade;Cargo;Eleitorado;Comparecimento;Abstenção;Abst. Percentual
;2016 - 1º Turno;TAVARES;Prefeito;11773;9130;2643;22,45
;2016 - 1º Turno;TAVARES;Vereador;11773;9130;2643;22,45
;2016 - 1º Turno;TEIXEIRA;Prefeito;10262;9514;748;7,29
;2016 - 1º Turno;TEIXEIRA;Vereador;10262;9514;748;7,29
;2016 - 1º Turno;TENÓRIO;Prefeito;2514;2357;157;6,25
;2016 - 1º Turno;TENÓRIO;Vereador;2514;2357;157;6,25
;2016 - 1º Turno;TRIUNFO;Prefeito;7598;5953;1645;21,65
;2016 - 1º Turno;TRIUNFO;Vereador;7598;5953;1645;21,65
;2016 - 1º Turno;UIRAÚNA;Prefeito;11600;9638;1962;16,91
;2016 - 1º Turno;UIRAÚNA;Vereador;11600;9638;1962;16,91
;2016 - 1º Turno;UMBUZEIRO;Prefeito;6809;5626;1183;17,37
;2016 - 1º Turno;UMBUZEIRO;Vereador;6809;5626;1183;17,37
;2016 - 1º Turno;VÁRZEA;Prefeito;2336;2263;73;3,12
;2016 - 1º Turno;VÁRZEA;Vereador;2336;2263;73;3,12
;2016 - 1º Turno;VIEIRÓPOLIS;Prefeito;4747;4435;312;6,57
;2016 - 1º Turno;VIEIRÓPOLIS;Vereador;4747;4435;312;6,57
;2016 - 1º Turno;VISTA SERRANA;Prefeito;3117;2757;360;11,55
;2016 - 1º Turno;VISTA SERRANA;Vereador;3117;2757;360;11,55
;2016 - 1º Turno;ZABELÊ;Prefeito;2002;1877;125;6,24
;2016 - 1º Turno;ZABELÊ;Vereador;2002;1877;125;6,24
;2016 - 1º Turno;MÃE D'ÁGUA;Prefeito;3884;3420;464;11,95
;2016 - 1º Turno;MÃE D'ÁGUA;Vereador;3884;3420;464;11,95
