;Eleição;Localidade;Cargo;Eleitorado;Comparecimento;Abstenção;Abst. Percentual
;2016 - 1º Turno;POÇO DE JOSÉ DE MOURA;Vereador;4074;3508;566;13,89
;2016 - 1º Turno;POMBAL;Prefeito;23705;21999;1706;7,20
;2016 - 1º Turno;POMBAL;Vereador;23705;21999;1706;7,20
;2016 - 1º Turno;PRATA;Prefeito;3760;3435;325;8,64
;2016 - 1º Turno;PRATA;Vereador;3760;3435;325;8,64
;2016 - 1º Turno;PRINCESA ISABEL;Prefeito;15827;12685;3142;19,85
;2016 - 1º Turno;PRINCESA ISABEL;Vereador;15827;12685;3142;19,85
;2016 - 1º Turno;PUXINANÃ;Prefeito;11278;9826;1452;12,87
;2016 - 1º Turno;PUXINANÃ;Vereador;11278;9826;1452;12,87
;2016 - 1º Turno;QUEIMADAS;Prefeito;34603;28413;6190;17,89
;2016 - 1º Turno;QUEIMADAS;Vereador;34603;28413;6190;17,89
;2016 - 1º Turno;QUIXABA;Prefeito;1879;1825;54;2,87
;2016 - 1º Turno;QUIXABA;Vereador;1879;1825;54;2,87
;2016 - 1º Turno;REMÍGIO;Prefeito;12692;11512;1180;9,30
;2016 - 1º Turno;REMÍGIO;Vereador;12692;11512;1180;9,30
;2016 - 1º Turno;RIACHÃO;Prefeito;3371;2940;431;12,79
;2016 - 1º Turno;RIACHÃO;Vereador;3371;2940;431;12,79
;2016 - 1º Turno;RIACHÃO DO BACAMARTE;Prefeito;4615;3869;746;16,16
;2016 - 1º Turno;RIACHÃO DO BACAMARTE;Vereador;4615;3869;746;16,16
;2016 - 1º Turno;RIACHÃO DO POÇO;Prefeito;4381;3776;605;13,81
;2016 - 1º Turno;RIACHÃO DO POÇO;Vereador;4381;3776;605;13,81
;2016 - 1º Turno;RIACHO DE SANTO ANTÔNIO;Prefeito;2073;2021;52;2,51
;2016 - 1º Turno;RIACHO DE SANTO ANTÔNIO;Vereador;2073;2021;52;2,51
;2016 - 1º Turno;RIACHO DOS CAVALOS;Prefeito;7508;6819;689;9,18
;2016 - 1º Turno;RIACHO DOS CAVALOS;Vereador;7508;6819;689;9,18
;2016 - 1º Turno;RIO TINTO;Prefeito;19061;15576;3485;18,28
;2016 - 1º Turno;RIO TINTO;Vereador;19061;15576;3485;18,28
;2016 - 1º Turno;SALGADINHO;Prefeito;2810;2698;112;3,99
;2016 - 1º Turno;SALGADINHO;Vereador;2810;2698;112;3,99
;2016 - 1º Turno;SALGADO DE SÃO FÉLIX;Prefeito;11385;8676;2709;23,79
;2016 - 1º Turno;SALGADO DE SÃO FÉLIX;Vereador;11385;8676;2709;23,79
;2016 - 1º Turno;SANTA CECÍLIA;Prefeito;6614;5484;1130;17,08
;2016 - 1º Turno;SANTA CECÍLIA;Vereador;6614;5484;1130;17,08
;2016 - 1º Turno;SANTA CRUZ;Prefeito;5302;5058;244;4,60
;2016 - 1º Turno;SANTA CRUZ;Vereador;5302;5058;244;4,60
;2016 - 1º Turno;SANTA HELENA;Prefeito;5663;4771;892;15,75
;2016 - 1º Turno;SANTA HELENA;Vereador;5663;4771;892;15,75
;2016 - 1º Turno;SANTA INÊS;Prefeito;3951;3293;658;16,65
;2016 - 1º Turno;SANTA INÊS;Vereador;3951;3293;658;16,65
;2016 - 1º Turno;SANTA LUZIA;Prefeito;10852;10055;797;7,34
;2016 - 1º Turno;SANTA LUZIA;Vereador;10852;10055;797;7,34
;2016 - 1º Turno;SANTA RITA;Prefeito;88677;82345;6332;7,14
;2016 - 1º Turno;SANTA RITA;Vereador;88677;82345;6332;7,14
;2016 - 1º Turno;SANTA TERESINHA;Prefeito;4764;4501;263;5,52
;2016 - 1º Turno;SANTA TERESINHA;Vereador;4764;4501;263;5,52
;2016 - 1º Turno;SANTANA DE MANGUEIRA;Prefeito;4783;4108;675;14,11
;2016 - 1º Turno;SANTANA DE MANGUEIRA;Vereador;4783;4108;675;14,11
;2016 - 1º Turno;SANTANA DOS GARROTES;Prefeito;5943;5045;898;15,11
;2016 - 1º Turno;SANTANA DOS GARROTES;Vereador;5943;5045;898;15,11
;2016 - 1º Turno;SANTO ANDRÉ;Prefeito;2584;2327;257;9,95
;2016 - 1º Turno;SANTO ANDRÉ;Vereador;2584;2327;257;9,95
;2016 - 1º Turno;SÃO BENTINHO;Prefeito;3340;3165;175;5,24
;2016 - 1º Turno;SÃO BENTINHO;Vereador;3340;3165;175;5,24
;2016 - 1º Turno;SÃO BENTO;Prefeito;26217;23339;2878;10,98
;2016 - 1º Turno;SÃO BENTO;Vereador;26217;23339;2878;10,98
;2016 - 1º Turno;SÃO DOMINGOS DE POMBAL;Prefeito;2783;2616;167;6,00
;2016 - 1º Turno;SÃO DOMINGOS DE POMBAL;Vereador;2783;2616;167;6,00
;2016 - 1º Turno;SÃO DOMINGOS DO CARIRI;Prefeito;2659;2603;56;2,11
;2016 - 1º Turno;SÃO DOMINGOS DO CARIRI;Vereador;2659;2603;56;2,11
;2016 - 1º Turno;SÃO FRANCISCO;Prefeito;3633;3478;155;4,27
;2016 - 1º Turno;SÃO FRANCISCO;Vereador;3633;3478;155;4,27
;2016 - 1º Turno;SÃO JOÃO DO CARIRI;Prefeito;3967;3635;332;8,37
;2016 - 1º Turno;SÃO JOÃO DO CARIRI;Vereador;3967;3635;332;8,37
;2016 - 1º Turno;SÃO JOÃO DO RIO DO PEIXE;Prefeito;14685;12208;2477;16,87
;2016 - 1º Turno;SÃO JOÃO DO RIO DO PEIXE;Vereador;14685;12208;2477;16,87
;2016 - 1º Turno;SÃO JOÃO DO TIGRE;Prefeito;3548;3355;193;5,44
;2016 - 1º Turno;SÃO JOÃO DO TIGRE;Vereador;3548;3355;193;5,44
;2016 - 1º Turno;SÃO JOSÉ DA LAGOA TAPADA;Prefeito;6074;5799;275;4,53
;2016 - 1º Turno;SÃO JOSÉ DA LAGOA TAPADA;Vereador;6074;5799;275;4,53
;2016 - 1º Turno;SÃO JOSÉ DE CAIANA;Prefeito;4587;4013;574;12,51
;2016 - 1º Turno;SÃO JOSÉ DE CAIANA;Vereador;4587;4013;574;12,51
