cd_Ugestora,dt_Ano,de_Ugestora,Eleito,classe,Candidato2016,DistanciaParaCapital,Media_Eleitores,nu_Contratos,nu_Dispensas,nu_Aditivo_Prazo,nu_Aditivo_Devolucao,nu_Aditivo_Valor,nu_Aditivos_Totais,nu_Convites,nu_Dispensas_Prop_Contratos,nu_Aditivo_Prazo_Prop_Contratos,nu_Aditivo_Devolucao_Prop_Contratos,nu_Aditivo_Valor_Prop_Contratos,nu_Aditivos_Totais_Prop_Contratos,nu_Convites_Prop_Contratos,nu_Contratos_Prop_Eleitores,nu_Dispensas_Prop_Eleitores,nu_Aditivo_Prazo_Prop_Eleitores,nu_Aditivo_Devolucao_Prop_Eleitores,nu_Aditivo_Valor_Prop_Eleitores,nu_Aditivos_Totais_Prop_Eleitores,nu_Convites_Prop_Eleitores
201188,2013,SAO JOSE DE PIRANHAS,DOMINGOS LEITE DA SILVA NETO,NAO IRREGULAR,FALSE,477,13952,285,12,2,0,16,18,12,0.0421052631578947,0.00701754385964912,0,0.056140350877193,0.0631578947368421,0.0421052631578947,0.0204271788990826,0.000860091743119266,0.000143348623853211,0,0.00114678899082569,0.0012901376146789,0.000860091743119266
201189,2009,SAO JOSE DE PRINCESA,LUIS FERREIRA DE MORAIS,NAO IRREGULAR,FALSE,440,3395,295,4,0,0,0,0,65,0.0135593220338983,0,0,0,0,0.220338983050847,0.0868924889543446,0.00117820324005891,0,0,0,0,0.0191458026509573
201189,2013,SAO JOSE DE PRINCESA,LUIZ FERREIRA DE MORAIS,NAO IRREGULAR,FALSE,440,3395,116,3,8,1,8,17,5,0.0258620689655172,0.0689655172413793,0.00862068965517241,0.0689655172413793,0.146551724137931,0.0431034482758621,0.0341678939617084,0.000883652430044183,0.00235640648011782,0.000294550810014728,0.00235640648011782,0.00500736377025037,0.00147275405007364
201190,2009,SAO JOSE DO BONFIM,ESAU RAUEL ARAUJO DA SILVA NOBREGA,NAO IRREGULAR,FALSE,333,3057,587,23,27,0,30,57,506,0.0391822827938671,0.0459965928449744,0,0.0511073253833049,0.0971039182282794,0.862010221465077,0.192018318613019,0.0075237160614982,0.00883218842001963,0,0.0098135426889107,0.0186457311089303,0.16552175335296
201190,2013,SAO JOSE DO BONFIM,ROSALBA GOMES DA NOBREGA,NAO IRREGULAR,FALSE,333,3057,398,18,25,2,29,56,81,0.0452261306532663,0.0628140703517588,0.0050251256281407,0.0728643216080402,0.14070351758794,0.203517587939698,0.130192999672882,0.00588812561334642,0.00817795224075891,0.000654236179260713,0.00948642459928034,0.0183186130193,0.0264965652600589
201191,2009,SAO JOSE DO BREJO DO CRUZ,ALDINEIDE SARAIVA DE OLIVEIRA,NAO IRREGULAR,FALSE,408,1593,3,0,0,0,0,0,2,0,0,0,0,0,0.666666666666667,0.00188323917137476,0,0,0,0,0,0.00125549278091651
201191,2013,SAO JOSE DO BREJO DO CRUZ,ALDINEIDE SARAIVA DE OLIVEIRA,NAO IRREGULAR,FALSE,408,1593,105,22,8,0,11,19,9,0.20952380952381,0.0761904761904762,0,0.104761904761905,0.180952380952381,0.0857142857142857,0.0659133709981168,0.0138104205900816,0.00502197112366604,0,0.0069052102950408,0.0119271814187068,0.00564971751412429
201192,2009,SAO JOSE DO SABUGI,JOSE DERCI DE MEDEIROS,NAO IRREGULAR,FALSE,288,3208,152,0,0,0,0,0,123,0,0,0,0,0,0.809210526315789,0.0473815461346633,0,0,0,0,0,0.0383416458852868
201192,2009,SAO JOSE DO SABUGI,IRACEMA NELIS DE ARAUJO DANTAS,NAO IRREGULAR,FALSE,288,3208,152,0,0,0,0,0,123,0,0,0,0,0,0.809210526315789,0.0473815461346633,0,0,0,0,0,0.0383416458852868
201192,2013,SAO JOSE DO SABUGI,IRACEMA NELIS DE ARAUJO DANTAS,NAO IRREGULAR,FALSE,288,3208,138,16,25,0,35,60,5,0.115942028985507,0.181159420289855,0,0.253623188405797,0.434782608695652,0.036231884057971,0.0430174563591022,0.00498753117206983,0.0077930174563591,0,0.0109102244389027,0.0187032418952618,0.00155860349127182
201193,2009,SAO JOSE DOS CORDEIROS,FERNANDO MARCOS DE QUEIROZ,NAO IRREGULAR,FALSE,255,2768,118,5,0,0,0,0,90,0.0423728813559322,0,0,0,0,0.76271186440678,0.0426300578034682,0.00180635838150289,0,0,0,0,0.032514450867052
201193,2013,SAO JOSE DOS CORDEIROS,FERNANDO MARCOS DE QUEIROZ,NAO IRREGULAR,FALSE,255,2768,169,13,22,0,23,45,55,0.0769230769230769,0.130177514792899,0,0.136094674556213,0.266272189349112,0.325443786982249,0.0610549132947977,0.00469653179190751,0.00794797687861272,0,0.00830924855491329,0.016257225433526,0.0198699421965318
201194,2009,SAO JOSE DOS RAMOS,MARIA APARECIDA RODRIGUES DE AMORIM,NAO IRREGULAR,FALSE,83,4143,260,39,0,0,0,0,155,0.15,0,0,0,0,0.596153846153846,0.0627564566739078,0.00941346850108617,0,0,0,0,0.0374125030171373
201194,2013,SAO JOSE DOS RAMOS,EDUARDO GINDRE CAXIAS DE LIMA,NAO IRREGULAR,FALSE,83,4143,282,46,30,0,74,104,17,0.163120567375887,0.106382978723404,0,0.26241134751773,0.368794326241135,0.0602836879432624,0.0680666183924692,0.0111030654115375,0.00724112961622013,0,0.017861453053343,0.0251025826695631,0.00410330678252474
201195,2009,SAO MAMEDE,FRANCISCO DAS CHAGAS LOPES DE SOUSA,NAO IRREGULAR,FALSE,295,5855,397,20,44,0,147,191,170,0.0503778337531486,0.110831234256927,0,0.370277078085642,0.481108312342569,0.428211586901763,0.0678052946199829,0.00341588385994876,0.00751494449188728,0,0.0251067463706234,0.0326216908625107,0.0290350128095645
201195,2013,SAO MAMEDE,FRANCISCO DAS CHAGAS LOPES DE SOUSA,NAO IRREGULAR,FALSE,295,5855,152,18,13,0,81,94,2,0.118421052631579,0.0855263157894737,0,0.532894736842105,0.618421052631579,0.0131578947368421,0.0259607173356106,0.00307429547395389,0.0022203245089667,0,0.0138343296327925,0.0160546541417592,0.000341588385994876
201196,2009,SAO MIGUEL DE TAIPU,MARCILENE SALES DA COSTA,NAO IRREGULAR,FALSE,64.9,4721,199,9,0,0,0,0,109,0.0452261306532663,0,0,0,0,0.547738693467337,0.0421520864223681,0.0019063757678458,0,0,0,0,0.0230883287439102
201196,2013,SAO MIGUEL DE TAIPU,CLODOALDO BELTRAO BEZERRA DE MELO,NAO IRREGULAR,FALSE,64.9,4721,52,0,4,0,15,19,5,0,0.0769230769230769,0,0.288461538461538,0.365384615384615,0.0961538461538462,0.0110146155475535,0,0.000847278119042576,0,0.00317729294640966,0.00402457106545224,0.00105909764880322
201197,2009,SAO SEBASTIAO DE LAGOA DE ROCA,LUCIO FLAVIO BEZERRA DE BRITO,NAO IRREGULAR,FALSE,148,8284,642,16,46,0,76,122,354,0.0249221183800623,0.0716510903426791,0,0.118380062305296,0.190031152647975,0.551401869158878,0.0774987928536939,0.00193143408981169,0.0055528730082086,0,0.00917431192660551,0.0147271849348141,0.0427329792370835
201197,2013,SAO SEBASTIAO DE LAGOA DE ROCA,MARIA DO SOCORRO CARDOSO,NAO IRREGULAR,FALSE,148,8284,257,17,23,0,25,48,53,0.066147859922179,0.0894941634241245,0,0.0972762645914397,0.186770428015564,0.206225680933852,0.0310236600676002,0.00205214872042492,0.0027764365041043,0,0.00301786576533076,0.00579430226943506,0.00639787542250121
201198,2009,SAO SEBASTIAO DO UMBUZEIRO,FRANCISCO ALIPIO NEVES,NAO IRREGULAR,FALSE,346,2594,248,15,0,0,0,0,120,0.0604838709677419,0,0,0,0,0.483870967741935,0.0956052428681573,0.00578257517347725,0,0,0,0,0.046260601387818
201198,2013,SAO SEBASTIAO DO UMBUZEIRO,FRANCISCO ALIPIO NEVES,NAO IRREGULAR,FALSE,346,2594,46,14,0,0,0,0,9,0.304347826086957,0,0,0,0,0.195652173913043,0.0177332305319969,0.0053970701619121,0,0,0,0,0.00346954510408635
201199,2009,SAO VICENTE DO SERIDO,FRANCISCO ALVES DA SILVA,NAO IRREGULAR,FALSE,214,7322,385,0,0,0,0,0,149,0,0,0,0,0,0.387012987012987,0.0525812619502868,0,0,0,0,0,0.0203496312482928
201199,2013,SAO VICENTE DO SERIDO,MARIA GRACIETE DO NASCIMENTO DANTAS,NAO IRREGULAR,FALSE,214,7322,196,6,0,0,0,0,18,0.0306122448979592,0,0,0,0,0.0918367346938776,0.0267686424474187,0.000819448238186288,0,0,0,0,0.00245834471455886
201200,2009,SAPE,JOAO CLEMENTE NETO,NAO IRREGULAR,FALSE,65,36607,508,26,38,0,82,120,185,0.0511811023622047,0.0748031496062992,0,0.161417322834646,0.236220472440945,0.364173228346457,0.0138771273253749,0.000710246674133363,0.00103805283142568,0,0.00224000874149753,0.00327806157292321,0.00505367825825662
201200,2013,SAPE,FLAVIO ROBERTO MALHEIROS FELICIANO,NAO IRREGULAR,FALSE,65,36607,376,46,77,0,83,160,19,0.122340425531915,0.204787234042553,0,0.220744680851064,0.425531914893617,0.050531914893617,0.0102712595951594,0.00125659026962056,0.00210342284262573,0,0.00226732592127189,0.00437074876389762,0.000519026415712842
201201,2009,SERRA BRANCA,EDUARDO JOSE TORREAO MOTA,NAO IRREGULAR,FALSE,243,9381,10,0,0,0,0,0,5,0,0,0,0,0,0.5,0.00106598443662723,0,0,0,0,0,0.000532992218313613
201201,2013,SERRA BRANCA,EDUARDO JOSE TORREAO MOTA,NAO IRREGULAR,FALSE,243,9381,129,12,37,0,37,74,17,0.0930232558139535,0.286821705426357,0,0.286821705426357,0.573643410852713,0.131782945736434,0.0137511992324912,0.00127918132395267,0.00394414241552073,0,0.00394414241552073,0.00788828483104147,0.00181217354226628
201202,2009,SERRA DA RAIZ,LUIZ GONZAGA BEZERRA DUARTE,NAO IRREGULAR,FALSE,117,2212,243,5,0,0,0,0,151,0.0205761316872428,0,0,0,0,0.621399176954732,0.109855334538879,0.00226039783001808,0,0,0,0,0.0682640144665461
201202,2013,SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA,NAO IRREGULAR,FALSE,117,2212,152,8,17,0,33,50,26,0.0526315789473684,0.111842105263158,0,0.217105263157895,0.328947368421053,0.171052631578947,0.0687160940325497,0.00361663652802893,0.00768535262206148,0,0.0149186256781193,0.0226039783001808,0.011754068716094
201203,2009,SERRA GRANDE,JOAO BOSCO CAVALCANTE,NAO IRREGULAR,FALSE,463,2333,14,3,0,0,0,0,8,0.214285714285714,0,0,0,0,0.571428571428571,0.00600085726532362,0.00128589798542649,0,0,0,0,0.00342906129447064
201203,2013,SERRA GRANDE,JAIRO HALLEY DE MOURA CRUZ,NAO IRREGULAR,TRUE,463,2333,220,19,41,0,65,106,26,0.0863636363636364,0.186363636363636,0,0.295454545454545,0.481818181818182,0.118181818181818,0.0942991855979426,0.00814402057436777,0.017573939134162,0,0.0278611230175739,0.045435062151736,0.0111444492070296
201204,2009,SERRA REDONDA,MANOEL MARCELO DE ANDRADE,NAO IRREGULAR,FALSE,111,6059,109,0,1,0,7,8,65,0,0.00917431192660551,0,0.0642201834862385,0.073394495412844,0.596330275229358,0.0179897672883314,0,0.000165043736590196,0,0.00115530615613137,0.00132034989272157,0.0107278428783628
