UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
MG;COUTO DE MAGALHÃES DE MINAS;108039,06;-;10803,91;40;20;4038 
MG;CRISÓLITA;108039,06;-;10803,91;51;26;5076 
MG;CRISTAIS;108039,06;-;10803,91;83;42;8329 
MG;CRISTÁLIA;108039,06;-;10803,91;52;26;5207 
MG;CRISTIANO OTONI;108039,06;-;10803,91;43;22;4343 
MG;CRISTINA;108039,06;-;10803,91;83;42;8266 
MG;CRUCILÂNDIA;108039,06;-;10803,91;51;26;5111 
MG;CRUZEIRO DA FORTALEZA;108039,06;-;10803,91;41;21;4140 
MG;CRUZÍLIA;108039,06;-;10803,91;125;63;12457 
MG;CUPARAQUE;108039,06;-;10803,91;44;22;4353 
MG;CURRAL DE DENTRO;108039,06;-;10803,91;62;31;6159 
MG;CURVELO;165684,84;-;20637,62;327;164;56718 
MG;DATAS;108039,06;-;10803,91;49;25;4887 
MG;DELFIM MOREIRA;108039,06;-;10803,91;68;34;6773 
MG;DELFINÓPOLIS;108039,06;-;10803,91;63;32;6334 
MG;DELTA;108039,06;-;14754,67;64;32;6410 
MG;DESCOBERTO;108039,06;-;10803,91;46;23;4568 
MG;DESTERRO DE ENTRE RIOS;108039,06;-;10803,91;60;30;5955 
MG;DESTERRO DO MELO;108039,06;-;10803,91;33;17;3264 
MG;DIAMANTINA;300156,02;-;21285,27;306;153;36215 
MG;DIOGO DE VASCONCELOS;108039,06;-;10803,91;35;18;3501 
MG;DIONÍSIO;108039,06;-;10803,91;73;37;7325 
MG;DIVINÉSIA;108039,06;-;10803,91;40;20;4041 
MG;DIVINO;134652,82;-;10803,91;156;78;15603 
MG;DIVINO DAS LARANJEIRAS;108039,06;-;10803,91;48;24;4788 
MG;DIVINOLÂNDIA DE MINAS;169885,04;-;10803,91;65;33;6464 
MG;DIVINÓPOLIS;683837,34;-;88180,26;429;215;158937 
MG;DIVISA ALEGRE;108039,06;-;10803,91;50;25;5048 
MG;DIVISA NOVA;108039,06;-;10803,91;50;25;4961 
MG;DIVISÓPOLIS;108039,06;-;10803,91;64;32;6415 
MG;DOM BOSCO;108039,06;-;10803,91;35;18;3521 
MG;DOM CAVATI;108039,06;-;10803,91;50;25;5006 
