UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
AC;ACRELÂNDIA;108039,06;-;10803,91;95;48;9506 
AC;ASSIS BRASIL;108039,06;-;10803,91;55;28;5505 
AC;BRASILÉIA;108039,06;-;15201,10;176;88;17613 
AC;BUJARI;108039,06;-;10803,91;79;40;7888 
AC;CAPIXABA;108039,06;-;10803,91;79;40;7882 
AC;CRUZEIRO DO SUL;568224,37;-;21313,31;324;143;54101 
AC;EPITACIOLÂNDIA;108039,06;-;10803,91;116;58;11559 
AC;FEIJÓ;108039,06;-;16308,97;197;99;19739 
AC;JORDÃO;108039,06;-;10803,91;47;24;4724 
AC;MÂNCIO LIMA;108039,06;-;15240,25;120;60;11981 
AC;MANOEL URBANO;108039,06;-;10803,91;67;34;6711 
AC;MARECHAL THAUMATURGO;108039,06;-;10803,91;95;48;9458 
AC;PLÁCIDO DE CASTRO;200004,09;-;33472,81;136;68;13586 
AC;PORTO ACRE;108039,06;-;10803,91;113;57;11331 
AC;PORTO WALTER;108039,06;-;10803,91;59;30;5884 
AC;RIO BRANCO;222066,85;66620,06;119325,63;511;143;241196 
AC;RODRIGUES ALVES;108039,06;-;10803,91;111;56;11062 
AC;SANTA ROSA DO PURUS;108039,06;-;10803,91;32;16;3157 
AC;SENA MADUREIRA;241351,73;-;49204,07;276;138;27557 
AC;SENADOR GUIOMARD;152695,09;-;19364,88;162;81;16206 
AC;TARAUACÁ;108039,06;-;33236,86;249;125;24900 
AC;XAPURI;108039,06;-;10803,91;109;55;10906 
AL;ÁGUA BRANCA;165440,79;-;26160,21;145;73;14518 
AL;ANADIA;187903,10;-;22787,43;126;63;12558 
AL;ARAPIRACA;1963837,57;-;83333,25;406;203;135998 
AL;ATALAIA;287893,83;-;33408,14;300;150;30194 
AL;BARRA DE SANTO ANTÔNIO;108039,06;-;39396,03;117;59;11680 
AL;BARRA DE SÃO MIGUEL;359370,80;-;22082,21;65;33;6520 
AL;BATALHA;249545,03;-;10803,91;120;60;12020 
AL;BELÉM;108039,06;-;10803,91;48;24;4780 
AL;BELO MONTE;108039,06;-;21816,46;52;26;5154 
AL;BOCA DA MATA;151385,62;-;60012,58;196;98;19640 
AL;BRANQUINHA;157670,47;-;10803,91;82;41;8158 
AL;CACIMBINHAS;137760,38;-;18150,38;79;40;7929 
AL;CAJUEIRO;159987,84;-;10803,91;144;72;14437 
AL;CAMPESTRE;108039,06;-;10803,91;54;27;5423 
AL;CAMPO ALEGRE;444545,95;-;21253,16;234;117;23369 
AL;CAMPO GRANDE;108039,06;-;10803,91;81;41;8106 
AL;CANAPI;108039,06;-;10803,91;130;65;13019 
AL;CAPELA;108039,06;-;10803,91;128;64;12753 
AL;CARNEIROS;108039,06;-;10803,91;64;32;6388 
AL;CHÃ PRETA;108039,06;-;10803,91;59;30;5873 
AL;COITÉ DO NÓIA;139250,80;-;17949,66;83;42;8346 
AL;COLÔNIA LEOPOLDINA;174414,30;-;15309,91;146;73;14574 
AL;COQUEIRO SECO;108039,06;-;10803,91;45;23;4508 
AL;CORURIPE;494185,02;-;25284,79;309;155;38541 
AL;CRAÍBAS;163977,83;-;21890,24;174;87;17375 
AL;DELMIRO GOUVEIA;449093,95;-;48850,79;306;153;36137 
AL;DOIS RIACHOS;148203,16;-;15763,09;85;43;8517 
AL;ESTRELA DE ALAGOAS;225652,52;-;16999,05;117;59;11658 
AL;FEIRA GRANDE;178601,87;-;33816,46;167;84;16651 
AL;FELIZ DESERTO;108039,06;-;10803,91;35;18;3504 
AL;FLEXEIRAS;108039,06;-;13427,89;85;43;8541 
AL;GIRAU DO PONCIANO;108039,06;-;18458,78;252;126;25167 
AL;IBATEGUARA;108039,06;-;10803,91;108;54;10805 
AL;IGACI;108039,06;-;10803,91;192;96;19184 
AL;IGREJA NOVA;153657,15;-;29547,91;167;84;16720 
AL;INHAPI;108039,06;-;10803,91;122;61;12219 
AL;JACARÉ DOS HOMENS;108039,06;-;10803,91;47;24;4748 
AL;JACUÍPE;108039,06;-;10803,91;54;27;5414 
AL;JAPARATINGA;108039,06;-;18564,83;63;32;6308 
AL;JARAMATAIA;108039,06;-;10803,91;45;23;4548 
AL;JEQUIÁ DA PRAIA;247158,34;-;31358,58;73;37;7344 
AL;JOAQUIM GOMES;108039,06;-;23014,02;129;65;12859 
AL;JUNDIÁ;108039,06;-;17882,47;42;21;4194 
AL;JUNQUEIRO;179919,82;-;23298,39;185;93;18463 
AL;LAGOA DA CANOA;108039,06;-;22568,57;136;68;13609 
AL;LIMOEIRO DE ANADIA;318306,30;-;23911,69;172;86;17189 
AL;MACEIÓ;4504729,69;1351418,91;220429,76;850;238;579962 
AL;MAJOR ISIDORO;352778,13;-;14115,06;143;72;14314 
AL;MAR VERMELHO;183628,75;-;21010,93;33;17;3266 
AL;MARAGOGI;212863,43;-;24801,47;189;95;18853 
AL;MARAVILHA;152228,31;-;10803,91;77;39;7692 
AL;MARECHAL DEODORO;796775,67;-;56454,67;305;153;34816 
AL;MARIBONDO;163796,19;-;25849,61;102;51;10214 
AL;MATA GRANDE;108039,06;-;42071,01;165;83;16524 
AL;MATRIZ DE CAMARAGIBE;108039,06;-;16872,17;179;90;17896 
AL;MESSIAS;170732,37;-;14259,54;126;63;12555 
AL;MINADOR DO NEGRÃO;108039,06;-;10803,91;44;22;4428 
AL;MONTEIRÓPOLIS;108039,06;-;10803,91;57;29;5697 
AL;MURICI;108039,06;-;10803,91;187;94;18670 
AL;NOVO LINO;108039,06;-;10803,91;98;49;9834 
AL;OLHO D'ÁGUA DAS FLORES;190046,76;-;10803,91;144;72;14424 
AL;OLHO D'ÁGUA DO CASADO;108039,06;-;10803,91;68;34;6811 
AL;OLHO D'ÁGUA GRANDE;108039,06;-;10803,91;44;22;4364 
AL;OLIVENÇA;108039,06;-;10803,91;87;44;8712 
AL;OURO BRANCO;108039,06;-;10803,91;77;39;7747 
AL;PALESTINA;108039,06;-;10803,91;43;22;4258 
AL;PALMEIRA DOS ÍNDIOS;467709,70;-;34057,23;319;160;49320 
AL;PÃO DE AÇÚCAR;215372,99;-;10803,91;179;90;17904 
AL;PARICONHA;199031,82;-;10803,91;80;40;7954 
AL;PARIPUEIRA;108039,06;-;15497,44;94;47;9439 
AL;PASSO DE CAMARAGIBE;169288,22;-;35433,20;111;56;11135 
AL;PAULO JACINTO;108039,06;-;18227,10;61;31;6127 
AL;PENEDO;405229,47;-;26685,37;311;156;40897 
AL;PIAÇABUÇU;108039,06;-;19531,82;129;65;12891 
AL;PILAR;817819,39;-;64258,98;251;126;25104 
AL;PINDOBA;108039,06;-;17990,47;25;13;2479 
AL;PIRANHAS;200267,71;-;19147,47;172;86;17213 
AL;POÇO DAS TRINCHEIRAS;108039,06;-;10803,91;97;49;9693 
AL;PORTO CALVO;487627,90;-;13983,13;199;100;19892 
AL;PORTO DE PEDRAS;141054,64;-;21040,28;66;33;6640 
AL;PORTO REAL DO COLÉGIO;108039,06;-;13907,02;147;74;14681 
AL;QUEBRANGULO;108039,06;-;10803,91;96;48;9606 
AL;RIO LARGO;326696,30;-;43726,55;322;161;52328 
AL;ROTEIRO;108039,06;-;10803,91;50;25;4994 
AL;SANTA LUZIA DO NORTE;108039,06;-;10803,91;57;29;5658 
AL;SANTANA DO IPANEMA;146835,26;-;25112,33;300;150;30078 
AL;SANTANA DO MUNDAÚ;108039,06;-;15492,49;83;42;8259 
AL;SÃO BRÁS;108039,06;-;17337,92;59;30;5852 
AL;SÃO JOSÉ DA LAJE;257039,32;-;15570,02;165;83;16477 
AL;SÃO JOSÉ DA TAPERA;168640,17;-;32668,15;201;101;20093 
AL;SÃO LUÍS DO QUITUNDE;200952,53;-;16213,85;217;109;21707 
AL;SÃO MIGUEL DOS CAMPOS;2311599,47;-;61797,69;308;154;38370 
AL;SÃO MIGUEL DOS MILAGRES;108039,06;-;23666,64;66;33;6552 
AL;SÃO SEBASTIÃO;469325,15;-;30182,55;241;121;24135 
AL;SATUBA;108039,06;-;13652,61;99;50;9916 
AL;SENADOR RUI PALMEIRA;205859,37;-;24717,10;87;44;8743 
AL;TANQUE D'ARCA;108039,06;-;17041,18;52;26;5154 
AL;TAQUARANA;228546,38;-;29341,09;133;67;13315 
AL;TEOTÔNIO VILELA;257266,00;-;52840,57;277;139;27739 
AL;TRAIPU;161853,09;-;10803,91;172;86;17188 
AL;UNIÃO DOS PALMARES;297773,26;-;32331,43;313;157;43032 
AL;VIÇOSA;197532,62;-;17001,88;193;97;19278 
AM;ALVARÃES;108039,06;-;10803,91;97;49;9727 
AM;AMATURÁ;108039,06;-;10803,91;55;28;5467 
AM;ANAMÃ;613178,16;-;15857,66;70;35;6970 
AM;ANORI;223610,79;-;10803,91;97;49;9663 
AM;APUÍ;108039,06;-;19489,15;102;51;10164 
AM;ATALAIA DO NORTE;135185,73;-;10803,91;77;39;7687 
AM;AUTAZES;152431,18;-;19382,00;238;119;23840 
AM;BARCELOS;108039,06;-;18758,69;100;50;10025 
AM;BARREIRINHA;108039,06;-;26632,46;181;91;18134 
AM;BENJAMIN CONSTANT;242837,36;-;10803,91;195;98;19481 
AM;BERURI;221819,05;-;20649,15;112;56;11193 
AM;BOA VISTA DO RAMOS;108039,06;-;10803,91;104;52;10434 
AM;BOCA DO ACRE;275893,92;-;18127,32;203;102;20292 
AM;BORBA;108039,06;-;10803,91;201;101;20147 
AM;CAAPIRANGA;108039,06;-;10803,91;81;41;8125 
AM;CANUTAMA;141472,51;-;13725,64;83;42;8323 
AM;CARAUARI;238951,07;-;72554,24;186;93;18603 
AM;CAREIRO;283092,98;-;24651,47;198;99;19786 
AM;CAREIRO DA VÁRZEA;108039,06;-;10803,91;144;72;14411 
AM;COARI;1391726,59;-;68577,27;319;160;48681 
AM;CODAJÁS;179958,26;-;19163,84;145;73;14506 
AM;EIRUNEPÉ;108039,06;-;17818,33;209;105;20882 
AM;ENVIRA;108039,06;-;10803,91;112;56;11244 
AM;FONTE BOA;278038,11;-;23702,69;147;74;14677 
AM;GUAJARÁ;108039,06;-;10803,91;94;47;9392 
AM;HUMAITÁ;108039,06;-;18820,21;288;144;28782 
AM;IPIXUNA;108039,06;-;10803,91;107;54;10677 
AM;IRANDUBA;323402,45;-;54213,43;270;135;26980 
AM;ITACOATIARA;321781,05;-;62044,59;332;166;62343 
AM;ITAMARATI;199438,00;-;10803,91;65;33;6529 
AM;ITAPIRANGA;108039,06;-;10803,91;71;36;7128 
AM;JAPURÁ;108039,06;-;10803,91;44;22;4438 
AM;JURUÁ;207169,50;-;10803,91;70;35;6993 
AM;JUTAÍ;108039,06;-;10803,91;117;59;11728 
AM;LÁBREA;204736,41;-;22279,94;232;116;23231 
AM;MANACAPURU;840371,33;-;31554,28;332;166;61793 
AM;MANAQUIRI;570533,72;-;19917,58;129;65;12920 
AM;MANAUS;8977801,98;2693340,59;551706,39;1527;428;1257129 
AM;MANICORÉ;332769,83;-;25088,02;281;141;28111 
AM;MARAÃ;196710,63;-;10803,91;95;48;9477 
AM;MAUÉS;308079,43;-;33146,03;300;150;30117 
AM;NHAMUNDÁ;108039,06;-;10803,91;129;65;12851 
AM;NOVA OLINDA DO NORTE;266157,98;-;14043,99;167;84;16672 
AM;NOVO AIRÃO;108039,06;-;17445,96;99;50;9899 
AM;NOVO ARIPUANÃ;108039,06;-;14044,93;120;60;11989 
AM;PARINTINS;547735,41;-;74211,54;334;167;64044 
AM;PAUINI;108039,06;-;15994,37;99;50;9851 
AM;PRESIDENTE FIGUEIREDO;586380,04;-;125903,05;210;105;21006 
AM;RIO PRETO DA EVA;405017,64;-;24681,62;141;71;14112 
AM;SANTA ISABEL DO RIO NEGRO;166784,93;-;10803,91;75;38;7467 
AM;SANTO ANTÔNIO DO IÇÁ;154809,30;-;14023,39;132;66;13159 
AM;SÃO GABRIEL DA CACHOEIRA;108039,06;-;26073,06;288;144;28756 
AM;SÃO PAULO DE OLIVENÇA;206793,80;-;10803,91;159;80;15918 
AM;SÃO SEBASTIÃO DO UATUMÃ;108039,06;-;10803,91;62;31;6153 
AM;SILVES;108039,06;-;10803,91;70;35;6970 
AM;TABATINGA;339696,29;-;18352,04;300;150;30111 
AM;TAPAUÁ;108039,06;-;10803,91;121;61;12122 
AM;TEFÉ;748814,91;-;19850,17;309;155;39297 
AM;TONANTINS;237381,41;-;10803,91;89;45;8913 
AM;UARINI;204517,60;-;10803,91;74;37;7391 
AM;URUCARÁ;192431,70;-;10803,91;114;57;11395 
AM;URUCURITUBA;108039,06;-;16900,73;120;60;12020 
AP;PEDRA BRANCA DO AMAPARI;108039,06;-;19433,50;83;42;8316 
AP;AMAPÁ;108039,06;-;10803,91;60;30;6026 
AP;CALÇOENE;255767,54;-;10803,91;74;37;7423 
AP;CUTIAS;108039,06;-;18726,57;41;21;4062 
AP;FERREIRA GOMES;108039,06;-;10803,91;71;36;7133 
AP;ITAUBAL;108039,06;-;10803,91;55;28;5522 
AP;LARANJAL DO JARI;108039,06;-;14624,65;277;139;27718 
AP;MACAPÁ;1182802,88;354840,86;133202,77;548;153;277688 
AP;MAZAGÃO;289362,73;-;21199,10;141;71;14146 
AP;OIAPOQUE;108039,06;-;10803,91;183;92;18261 
AP;PORTO GRANDE;108039,06;-;10803,91;132;66;13176 
AP;PRACUÚBA;108039,06;-;10803,91;34;17;3351 
AP;SANTANA;413485,05;-;59644,14;343;153;73096 
AP;SERRA DO NAVIO;108039,06;-;10803,91;35;18;3454 
AP;TARTARUGALZINHO;108039,06;-;10803,91;85;43;8514 
AP;VITÓRIA DO JARI;108039,06;-;13940,02;96;48;9560 
BA;ABAÍRA;108039,06;-;10803,91;69;35;6931 
BA;ABARÉ;108039,06;-;10803,91;127;64;12746 
BA;ACAJUTIBA;108039,06;-;10803,91;113;57;11262 
BA;ADUSTINA;108039,06;-;10803,91;109;55;10859 
BA;ÁGUA FRIA;108039,06;-;10803,91;124;62;12435 
BA;AIQUARA;108039,06;-;10803,91;38;19;3787 
BA;ALAGOINHAS;837667,71;-;29312,20;364;182;94177 
BA;ALCOBAÇA;108039,06;-;10803,91;177;89;17660 
BA;ALMADINA;108039,06;-;10803,91;54;27;5352 
BA;AMARGOSA;328930,18;-;17471,89;256;128;25553 
BA;AMÉLIA RODRIGUES;108039,06;-;10803,91;184;92;18439 
BA;AMÉRICA DOURADA;108039,06;-;10803,91;131;66;13130 
BA;ANAGÉ;169068,00;-;14232,20;182;91;18214 
BA;ANDARAÍ;108039,06;-;10803,91;105;53;10500 
BA;ANDORINHA;108039,06;-;10803,91;112;56;11247 
BA;ANGICAL;108039,06;-;10803,91;122;61;12153 
BA;ANGUERA;108039,06;-;10803,91;94;47;9445 
BA;ANTAS;158848,16;-;10803,91;108;54;10837 
BA;ANTÔNIO CARDOSO;108039,06;-;34395,08;108;54;10759 
BA;ANTÔNIO GONÇALVES;108039,06;-;10803,91;83;42;8298 
BA;APORÁ;108039,06;-;10803,91;135;68;13538 
BA;APUAREMA;108039,06;-;10803,91;59;30;5871 
BA;ARAÇÁS;166962,73;-;10803,91;89;45;8877 
BA;ARACATU;108039,06;-;10803,91;131;66;13118 
BA;ARACI;256478,78;-;25357,17;311;156;40715 
BA;ARAMARI;108039,06;-;10803,91;84;42;8366 
BA;ARATACA;108039,06;-;10803,91;56;28;5569 
BA;ARATUÍPE;108039,06;-;10803,91;82;41;8161 
BA;AURELINO LEAL;108039,06;-;10803,91;92;46;9213 
BA;BAIANÓPOLIS;108039,06;-;10803,91;116;58;11645 
BA;BAIXA GRANDE;108039,06;-;27598,29;162;81;16154 
BA;BANZAÊ;108039,06;-;10803,91;103;52;10269 
BA;BARRA;276685,12;-;10803,91;306;153;36258 
BA;BARRA DA ESTIVA;108039,06;-;10803,91;189;95;18852 
BA;BARRA DO CHOÇA;210109,81;-;14861,61;274;137;27386 
BA;BARRA DO MENDES;108039,06;-;10803,91;123;62;12291 
BA;BARRA DO ROCHA;108039,06;-;10803,91;39;20;3887 
BA;BARREIRAS;744698,90;-;41289,69;365;183;94612 
BA;BARRO ALTO;108039,06;-;10803,91;98;49;9785 
BA;BARRO PRETO;108039,06;-;10803,91;62;31;6168 
BA;BARROCAS;108039,06;-;10803,91;132;66;13178 
BA;BELMONTE;108039,06;-;10803,91;161;81;16115 
BA;BELO CAMPO;215586,40;-;10803,91;151;76;15147 
BA;BIRITINGA;108039,06;-;10803,91;123;62;12317 
BA;BOA NOVA;108039,06;-;10803,91;138;69;13796 
BA;BOA VISTA DO TUPIM;108039,06;-;13576,77;135;68;13516 
BA;BOM JESUS DA LAPA;293925,70;-;20725,63;316;158;45763 
BA;BOM JESUS DA SERRA;108039,06;-;10803,91;93;47;9340 
BA;BONINAL;108039,06;-;10803,91;105;53;10510 
BA;BONITO;108039,06;-;10803,91;123;62;12273 
BA;BOQUIRA;108039,06;-;10803,91;163;82;16263 
BA;BOTUPORÃ;108039,06;-;10803,91;99;50;9858 
BA;BREJÕES;146613,23;-;10803,91;115;58;11462 
BA;BREJOLÂNDIA;108039,06;-;10803,91;82;41;8171 
BA;BROTAS DE MACAÚBAS;108039,06;-;10803,91;92;46;9200 
BA;BRUMADO;292443,77;-;46681,24;318;159;47845 
BA;BUERAREMA;108039,06;-;10803,91;116;58;11641 
BA;BURITIRAMA;108039,06;-;10803,91;151;76;15103 
BA;CAATIBA;108039,06;-;10803,91;83;42;8334 
BA;CABACEIRAS DO PARAGUAÇU;108039,06;-;10803,91;108;54;10803 
BA;CACHOEIRA;164606,58;-;10803,91;253;127;25313 
BA;CACULÉ;108039,06;-;14895,24;163;82;16304 
BA;CAEM;108039,06;-;10803,91;86;43;8580 
BA;CAETANOS;108039,06;-;10803,91;100;50;9985 
BA;CAETITÉ;531467,90;-;32574,87;309;155;39268 
BA;CAFARNAUM;108039,06;-;10803,91;133;67;13347 
BA;CAIRU;234082,16;-;14887,63;134;67;13352 
BA;CALDEIRÃO GRANDE;108039,06;-;10803,91;96;48;9574 
BA;CAMACÃ;108039,06;-;10803,91;181;91;18115 
BA;CAMAÇARI;4117178,04;-;214842,78;428;214;158125 
BA;CAMAMU;108039,06;-;10803,91;254;127;25352 
BA;CAMPO ALEGRE DE LOURDES;108039,06;-;10803,91;226;113;22588 
BA;CAMPO FORMOSO;556877,75;-;43090,78;321;161;51338 
BA;CANÁPOLIS;108039,06;-;10803,91;83;42;8345 
BA;CANARANA;108039,06;-;10803,91;179;90;17941 
BA;CANAVIEIRAS;229321,27;-;18026,33;211;106;21113 
BA;CANDEAL;108039,06;-;10803,91;73;37;7294 
BA;CANDEIAS;1132297,07;-;54446,31;331;166;61488 
BA;CANDIBA;108039,06;-;10803,91;108;54;10771 
BA;CÂNDIDO SALES;108039,06;-;15774,34;168;84;16789 
BA;CANSANÇÃO;108039,06;-;10803,91;270;135;27016 
BA;CANUDOS;108039,06;-;10803,91;126;63;12615 
BA;CAPELA DO ALTO ALEGRE;108039,06;-;15771,52;94;47;9401 
BA;CAPIM GROSSO;306262,91;-;15092,68;224;112;22439 
BA;CARAÍBAS;108039,06;-;10803,91;84;42;8430 
BA;CARAVELAS;138576,64;-;10803,91;143;72;14330 
BA;CARDEAL DA SILVA;108039,06;-;10803,91;76;38;7597 
BA;CARINHANHA;153834,81;-;21512,15;216;108;21628 
BA;CASA NOVA;457864,37;-;37336,00;321;161;51131 
BA;CASTRO ALVES;229572,46;-;13532,05;229;115;22914 
BA;CATOLÂNDIA;108039,06;-;10803,91;35;18;3511 
BA;CATU;411469,09;-;14606,73;310;155;40144 
BA;CATURAMA;108039,06;-;10803,91;79;40;7899 
BA;CENTRAL;108039,06;-;10803,91;132;66;13184 
BA;CHORROCHÓ;108039,06;-;10803,91;90;45;8962 
BA;CÍCERO DANTAS;241540,78;-;25290,24;252;126;25188 
BA;CIPÓ;108039,06;-;10803,91;136;68;13562 
BA;COARACI;108039,06;-;10803,91;171;86;17051 
BA;COCOS;146882,06;-;10803,91;142;71;14178 
BA;CONCEIÇÃO DA FEIRA;153820,61;-;24383,64;158;79;15822 
BA;CONCEIÇÃO DO ALMEIDA;108039,06;-;13773,37;151;76;15122 
BA;CONCEIÇÃO DO COITÉ;318477,21;-;17297,17;320;160;49812 
BA;CONCEIÇÃO DO JACUÍPE;108039,06;-;10803,91;234;117;23447 
BA;CONDE;235776,92;-;10803,91;175;88;17485 
BA;CONDEÚBA;108039,06;-;19701,63;155;78;15501 
BA;CONTENDAS DO SINCORÁ;108039,06;-;10803,91;38;19;3796 
BA;CORAÇÃO DE MARIA;237263,65;-;14592,68;209;105;20949 
BA;CORDEIROS;108039,06;-;10803,91;70;35;6959 
BA;CORIBE;220464,24;-;10803,91;117;59;11656 
BA;CORONEL JOÃO SÁ;151778,88;-;10803,91;141;71;14138 
BA;CORRENTINA;196438,72;-;35458,35;267;134;26689 
BA;COTEGIPE;108039,06;-;10803,91;115;58;11453 
BA;CRAVOLÂNDIA;141255,25;-;10803,91;45;23;4477 
BA;CRISÓPOLIS;108039,06;-;19295,86;171;86;17088 
BA;CRISTÓPOLIS;271568,47;-;16490,62;120;60;12035 
BA;CRUZ DAS ALMAS;247283,94;-;39325,80;314;157;43520 
BA;CURAÇÁ;178005,44;-;14206,91;252;126;25186 
BA;DÁRIO MEIRA;108039,06;-;10803,91;71;36;7149 
BA;DIAS D'ÁVILA;631608,79;-;138735,82;317;159;46577 
BA;DOM BASÍLIO;108039,06;-;10803,91;100;50;9982 
BA;DOM MACEDO COSTA;108039,06;-;10803,91;37;19;3665 
BA;ELÍSIO MEDRADO;108039,06;-;23240,81;78;39;7768 
BA;ENCRUZILHADA;142334,54;-;14587,59;140;70;13986 
BA;ENTRE RIOS;697967,39;-;16590,81;302;151;31728 
BA;ÉRICO CARDOSO;108039,06;-;10803,91;93;47;9270 
BA;ESPLANADA;108039,06;-;15716,28;245;123;24515 
BA;EUCLIDES DA CUNHA;587032,38;-;36798,80;312;156;42040 
BA;EUNÁPOLIS;223157,43;-;42716,25;347;174;76567 
BA;FÁTIMA;108039,06;-;15323,58;153;77;15269 
BA;FEIRA DA MATA;108039,06;-;10803,91;51;26;5083 
BA;FEIRA DE SANTANA;1587234,71;476170,41;66792,43;668;334;397590 
BA;FILADÉLFIA;162608,45;-;10803,91;141;71;14142 
BA;FIRMINO ALVES;108039,06;-;10803,91;49;25;4892 
BA;FLORESTA AZUL;108039,06;-;10803,91;77;39;7660 
BA;FORMOSA DO RIO PRETO;248706,45;-;13923,21;183;92;18302 
BA;GANDU;329527,68;-;10803,91;212;106;21168 
BA;GAVIÃO;108039,06;-;10803,91;44;22;4423 
BA;GENTIO DO OURO;108039,06;-;10803,91;89;45;8895 
BA;GLÓRIA;278341,59;-;18376,92;129;65;12933 
BA;GONGOGI;108039,06;-;10803,91;49;25;4885 
BA;GOVERNADOR MANGABEIRA;108039,06;-;18371,64;145;73;14475 
BA;GUAJERU;108039,06;-;10803,91;77;39;7677 
BA;GUANAMBI;439300,89;-;63912,96;330;165;60408 
BA;GUARATINGA;108039,06;-;10803,91;159;80;15905 
BA;HELIÓPOLIS;108039,06;-;10803,91;122;61;12211 
BA;IAÇU;108039,06;-;10803,91;222;111;22175 
BA;IBIASSUCÊ;108039,06;-;10803,91;89;45;8882 
BA;IBICARAÍ;253785,45;-;19953,16;185;93;18496 
BA;IBICOARA;108039,06;-;10803,91;134;67;13441 
BA;IBICUÍ;108039,06;-;10803,91;110;55;11041 
BA;IBIPEBA;108039,06;-;10803,91;136;68;13641 
BA;IBIPITANGA;108039,06;-;10803,91;129;65;12882 
BA;IBIQUERA;108039,06;-;10803,91;35;18;3543 
BA;IBIRAPITANGA;166140,42;-;10803,91;146;73;14551 
BA;IBIRAPUÃ;190571,44;-;10803,91;69;35;6935 
BA;IBIRATAIA;176024,17;-;10803,91;138;69;13808 
BA;IBITIARA;108039,06;-;10803,91;116;58;11611 
BA;IBITITÁ;108039,06;-;10803,91;144;72;14359 
BA;IBOTIRAMA;108039,06;-;31881,99;188;94;18840 
BA;ICHU;108039,06;-;10803,91;53;27;5289 
BA;IGAPORÃ;108039,06;-;13750,92;113;57;11307 
BA;IGRAPIÚNA;108039,06;-;10803,91;105;53;10515 
BA;IGUAÍ;108039,06;-;10803,91;200;100;19989 
BA;ILHÉUS;501343,54;-;96623,90;405;203;135424 
BA;INHAMBUPE;317415,41;-;19503,73;255;128;25502 
BA;IPECAETÁ;245661,93;-;10803,91;138;69;13759 
BA;IPIAÚ;461522,39;-;14126,30;281;141;28094 
BA;IPIRÁ;143908,30;-;10803,91;316;158;46069 
BA;IPUPIARA;108039,06;-;10803,91;79;40;7937 
BA;IRAJUBA;108039,06;-;10803,91;49;25;4877 
BA;IRAMAIA;108039,06;-;10803,91;92;46;9205 
BA;IRAQUARA;108039,06;-;10803,91;165;83;16456 
BA;IRARÁ;209731,32;-;14213,47;233;117;23335 
BA;IRECÊ;176835,03;-;16692,87;315;158;45251 
BA;ITABELA;193185,48;-;10803,91;227;114;22667 
BA;ITABERABA;158319,96;-;20670,94;312;156;41981 
BA;ITABUNA;574955,25;-;48655,80;420;210;150221 
BA;ITACARÉ;197278,60;-;21142,30;152;76;15194 
BA;ITAETÉ;108039,06;-;10803,91;104;52;10417 
BA;ITAGI;108039,06;-;10803,91;90;45;9005 
BA;ITAGIBÁ;176931,47;-;10803,91;103;52;10254 
BA;ITAGIMIRIM;173442,71;-;10803,91;65;33;6479 
BA;ITAGUAÇU DA BAHIA;108039,06;-;10803,91;100;50;10003 
BA;ITAJU DO COLÔNIA;108039,06;-;16107,57;54;27;5379 
BA;ITAJUÍPE;147606,15;-;10803,91;177;89;17662 
BA;ITAMARAJU;108039,06;-;36984,98;314;157;43686 
BA;ITAMARI;108039,06;-;10803,91;69;35;6867 
BA;ITAMBÉ;108039,06;-;10803,91;188;94;18808 
BA;ITANAGRA;161897,30;-;10803,91;52;26;5151 
BA;ITANHÉM;108039,06;-;14489,69;161;81;16063 
BA;ITAPARICA;136109,42;-;18726,57;175;88;17506 
BA;ITAPÉ;108039,06;-;10803,91;97;49;9663 
BA;ITAPEBI;108039,06;-;10803,91;85;43;8515 
BA;ITAPETINGA;139534,96;-;24760,49;316;158;46322 
BA;ITAPICURU;108039,06;-;16118,51;237;119;23709 
BA;ITAPITANGA;108039,06;-;10803,91;69;35;6915 
BA;ITAQUARA;108039,06;-;10803,91;60;30;5995 
BA;ITARANTIM;108039,06;-;10803,91;140;70;13990 
BA;ITATIM;108039,06;-;10803,91;115;58;11544 
BA;ITIRUÇU;176779,80;-;10803,91;96;48;9626 
BA;ITIÚBA;108039,06;-;10803,91;291;146;29093 
BA;ITORORÓ;108039,06;-;10803,91;169;85;16890 
BA;ITUAÇU;108039,06;-;10803,91;145;73;14505 
BA;ITUBERÁ;108039,06;-;10803,91;198;99;19796 
BA;IUIU;108039,06;-;10803,91;85;43;8542 
BA;JABORANDI;153954,90;-;10803,91;80;40;8001 
BA;JACARACI;108039,06;-;10803,91;121;61;12074 
BA;JACOBINA;270411,65;-;20032,11;327;164;57289 
BA;JAGUAQUARA;390955,99;-;20017,94;301;151;30923 
BA;JAGUARARI;108039,06;-;18042,36;222;111;22206 
BA;JAGUARIPE;108039,06;-;10803,91;129;65;12928 
BA;JANDAÍRA;108039,06;-;10803,91;85;43;8476 
BA;JEQUIÉ;257742,25;-;32913,02;380;190;109526 
BA;JEREMOABO;146375,03;-;10803,91;262;131;26193 
BA;JIQUIRIÇÁ;108039,06;-;10803,91;110;55;10961 
BA;JITAÚNA;108039,06;-;10803,91;110;55;10973 
BA;JOÃO DOURADO;108039,06;-;13970,02;177;89;17681 
BA;JUAZEIRO;1450710,05;-;60861,36;416;208;146385 
