"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"JACI";"5.041";"5.041";"4.461";"580";"14";"14"
"CAMPOS DOS GOYTACAZES";"344.366";"344.366";"290.498";"53.868";"988";"988"
"MACAÉ";"144.044";"144.044";"118.619";"25.425";"401";"401"
"VALE VERDE";"3.364";"3.364";"3.070";"294";"11";"11"
"JAGUARIAÍVA";"25.093";"25.093";"20.925";"4.168";"73";"73"
"ITAPISSUMA";"15.681";"15.681";"14.870";"811";"50";"50"
"PEDREIRAS";"29.883";"29.883";"23.040";"6.843";"106";"106"
"PAU D'ARCO DO PIAUÍ";"4.175";"4.175";"3.662";"513";"15";"15"
"SÃO LUIS DO PIAUÍ";"2.417";"2.417";"2.107";"310";"7";"7"
"RODOLFO FERNANDES";"4.471";"4.471";"4.173";"298";"15";"15"
"IPIAÇU";"3.738";"3.738";"3.358";"380";"12";"12"
"GUAPÉ";"10.330";"10.330";"8.734";"1.596";"34";"34"
"SÃO FRANCISCO DE PAULA";"21.592";"21.592";"19.101";"2.491";"83";"83"
"SÃO JOÃO DO OESTE";"4.913";"4.913";"4.611";"302";"17";"17"
"BALIZA";"3.256";"3.256";"2.910";"346";"11";"11"
"FÁTIMA";"17.711";"17.711";"14.347";"3.364";"51";"51"
"SANTA GERTRUDES";"16.986";"16.986";"14.884";"2.102";"45";"45"
"ALFREDO MARCONDES";"3.571";"3.571";"3.217";"354";"10";"10"
"CACOAL";"57.848";"57.848";"45.376";"12.472";"163";"163"
"SANTA FÉ DO SUL";"23.557";"23.557";"18.900";"4.657";"66";"66"
"CAXAMBU";"17.909";"17.909";"14.039";"3.870";"47";"47"
"TAIOBEIRAS";"24.102";"24.102";"19.250";"4.852";"75";"75"
"BALNEÁRIO PINHAL";"8.597";"8.597";"7.047";"1.550";"24";"24"
"FLORIANO";"37.401";"37.401";"34.231";"3.170";"128";"128"
"CRISTIANÓPOLIS";"3.074";"3.074";"2.858";"216";"10";"10"
"PEDRO AFONSO";"7.550";"7.550";"6.669";"881";"37";"37"
"LUPÉRCIO";"3.783";"3.783";"3.230";"553";"11";"11"
"NOVA PORTEIRINHA";"6.239";"6.239";"5.456";"783";"22";"22"
"SERRA DOURADA";"15.293";"15.293";"13.014";"2.279";"53";"53"
"JOCA CLAUDINO";"2.532";"2.532";"2.161";"371";"9";"9"
"MANACAPURU";"62.080";"62.080";"49.518";"12.562";"189";"189"
"ANGELIM";"8.334";"8.334";"6.671";"1.663";"24";"24"
"PEDRAS GRANDES";"3.937";"3.937";"3.656";"281";"13";"13"
"COLINAS";"28.495";"28.495";"22.390";"6.105";"87";"87"
"IPOJUCA";"63.161";"63.161";"54.727";"8.434";"163";"163"
"FLORESTA";"27.186";"27.186";"23.578";"3.608";"79";"79"
"ADOLFO";"3.515";"3.515";"3.152";"363";"10";"10"
"CABECEIRA GRANDE";"5.488";"5.488";"4.794";"694";"16";"16"
"CONQUISTA";"4.978";"4.978";"4.637";"341";"19";"19"
"AREIA BRANCA";"31.278";"31.278";"29.121";"2.157";"103";"103"
"BITURUNA";"12.463";"12.463";"10.591";"1.872";"48";"48"
"SANTA HELENA";"51.060";"51.060";"43.209";"7.851";"182";"182"
"PORTO ALEGRE DO NORTE";"6.635";"6.635";"5.175";"1.460";"15";"15"
"SENADOR SÁ";"5.356";"5.356";"5.021";"335";"16";"16"
"DIRCE REIS";"1.610";"1.610";"1.526";"84";"5";"5"
"ITAÚNA";"64.923";"64.923";"56.411";"8.512";"193";"193"
"RETIROLÂNDIA";"10.173";"10.173";"9.392";"781";"29";"29"
"PASSOS MAIA";"3.403";"3.403";"3.064";"339";"12";"12"
"PEDRINHAS";"6.318";"6.318";"5.850";"468";"20";"20"
"IPIXUNA";"9.412";"9.412";"7.124";"2.288";"30";"30"
"RITÁPOLIS";"4.378";"4.378";"3.929";"449";"18";"18"
"GUARARAPES";"24.503";"24.503";"19.880";"4.623";"72";"72"
"PORTO BARREIRO";"3.118";"3.118";"2.838";"280";"15";"15"
"CAMPO BONITO";"3.970";"3.970";"3.489";"481";"13";"13"
"BRUSQUE";"77.736";"77.736";"68.944";"8.792";"206";"206"
"JURUTI";"28.431";"28.431";"23.298";"5.133";"94";"94"
"SANTA CLARA D'OESTE";"2.101";"2.101";"1.945";"156";"7";"7"
"JECEABA";"5.501";"5.501";"4.838";"663";"19";"19"
"SÃO THOMÉ DAS LETRAS";"5.650";"5.650";"4.825";"825";"18";"18"
"ERVAL SECO";"6.188";"6.188";"5.274";"914";"24";"24"
"SÃO JOÃO DA VARJOTA";"3.873";"3.873";"3.105";"768";"19";"19"
"SANTA ISABEL";"42.040";"42.040";"35.913";"6.127";"122";"122"
"LAGO DOS RODRIGUES";"7.088";"7.088";"6.042";"1.046";"22";"22"
"PIRACURUCA";"20.311";"20.311";"18.175";"2.136";"75";"75"
"FÊNIX";"4.122";"4.122";"3.663";"459";"15";"15"
"SUL BRASIL";"2.245";"2.245";"2.153";"92";"7";"7"
"SIMPLÍCIO MENDES";"9.394";"9.394";"7.709";"1.685";"31";"31"
"RIACHÃO DO POÇO";"3.993";"3.993";"3.487";"506";"16";"16"
"VERA";"6.723";"6.723";"5.420";"1.303";"18";"18"
"SÃO JOÃO DO TRIUNFO";"10.762";"10.762";"9.498";"1.264";"41";"41"
"IBIRAJUBA";"6.446";"6.446";"5.526";"920";"23";"23"
"SÃO SEBASTIÃO DA VARGEM ALEGRE";"2.792";"2.792";"2.613";"179";"8";"8"
"DIVINÉSIA";"3.306";"3.306";"3.223";"83";"13";"13"
"LORETO";"8.061";"8.061";"7.021";"1.040";"28";"28"
"SÃO JOÃO DO RIO DO PEIXE";"14.568";"14.568";"12.177";"2.391";"49";"49"
"SÃO JOÃO DO CARIRI";"4.082";"4.082";"3.532";"550";"16";"16"
"SALTO DO CÉU";"2.780";"2.780";"2.447";"333";"8";"8"
"APIACÁS";"5.380";"5.380";"4.450";"930";"20";"20"
"MIRADOURO";"8.868";"8.868";"7.943";"925";"31";"31"
"MARAÚ";"12.531";"12.531";"9.599";"2.932";"47";"47"
"JAQUIRANA";"4.123";"4.123";"3.614";"509";"15";"15"
"CAMPINAS DO SUL";"4.807";"4.807";"4.447";"360";"19";"19"
"JARDIM OLINDA";"1.397";"1.397";"1.207";"190";"4";"4"
"TIBAU";"4.119";"4.119";"3.797";"322";"11";"11"
"CAPINZAL DO NORTE";"8.041";"8.041";"6.848";"1.193";"29";"29"
"PARACATU";"60.587";"60.587";"51.255";"9.332";"166";"166"
"EUGENÓPOLIS";"8.348";"8.348";"7.465";"883";"25";"25"
"VERÍSSIMO";"2.627";"2.627";"2.428";"199";"10";"10"
"SÃO BENTO DO UNA";"34.742";"34.742";"27.404";"7.338";"98";"98"
"ÁGUA DOCE";"5.503";"5.503";"4.824";"679";"18";"18"
"ANICUNS";"16.646";"16.646";"14.290";"2.356";"50";"50"
"PEREIRA BARRETO";"20.292";"20.292";"15.817";"4.475";"55";"55"
"BOM RETIRO";"7.135";"7.135";"6.173";"962";"23";"23"
"SANTA LUZIA DO PARUÁ";"15.680";"15.680";"12.846";"2.834";"53";"53"
"SÃO BENTO";"52.297";"52.297";"43.257";"9.040";"155";"155"
"MIGUEL PEREIRA";"21.940";"21.940";"18.451";"3.489";"66";"66"
"GODOY MOREIRA";"2.868";"2.868";"2.509";"359";"11";"11"
"GUAPIAÇU";"14.451";"14.451";"12.390";"2.061";"36";"36"
"PIRAPETINGA";"8.969";"8.969";"8.190";"779";"32";"32"
"PIRANHAS";"23.915";"23.915";"21.197";"2.718";"77";"77"
"ALAGOINHA";"21.898";"21.898";"18.100";"3.798";"73";"73"
"ARINOS";"13.665";"13.665";"10.755";"2.910";"47";"47"
"CATUJI";"7.256";"7.256";"6.133";"1.123";"22";"22"
"INAJÁ";"14.485";"14.485";"12.500";"1.985";"42";"42"
"MACEIÓ";"501.081";"501.081";"458.475";"42.606";"1.432";"1.432"
"SÃO FRANCISCO DE SALES";"4.437";"4.437";"4.093";"344";"15";"15"
"SAPUCAIA";"20.552";"20.552";"17.535";"3.017";"63";"63"
"SERTANÓPOLIS";"13.252";"13.252";"11.249";"2.003";"36";"36"
"IMBÉ DE MINAS";"5.884";"5.884";"5.255";"629";"17";"17"
"NOVA CANDELÁRIA";"2.413";"2.413";"2.312";"101";"10";"10"
"TAPEJARA";"26.954";"26.954";"23.908";"3.046";"81";"81"
"PANTANO GRANDE";"8.536";"8.536";"7.437";"1.099";"25";"25"
"UNIÃO DOS PALMARES";"37.279";"37.279";"34.571";"2.708";"128";"128"
"CACHOEIRA DE PAJEÚ";"6.800";"6.800";"5.682";"1.118";"25";"25"
"MARTINS SOARES";"6.205";"6.205";"5.526";"679";"17";"17"
"SANTA CRUZ DE SALINAS";"4.351";"4.351";"3.367";"984";"20";"20"
"MORRO CABEÇA NO TEMPO";"3.710";"3.710";"3.184";"526";"13";"13"
"MUANÁ";"20.943";"20.943";"17.997";"2.946";"60";"60"
"NOVA OLINDA DO NORTE";"15.099";"15.099";"12.015";"3.084";"42";"42"
"SÃO LUIZ";"5.152";"5.152";"4.502";"650";"22";"22"
"SERRANÓPOLIS DO IGUAÇU";"4.082";"4.082";"3.822";"260";"15";"15"
"TEUTÔNIA";"22.235";"22.235";"20.076";"2.159";"66";"66"
"SÃO CRISTÓVÃO";"48.570";"48.570";"45.552";"3.018";"166";"166"
"ROSÁRIO DO SUL";"32.604";"32.604";"25.494";"7.110";"100";"100"
"QUITANDINHA";"12.518";"12.518";"11.534";"984";"45";"45"
"COTEGIPE";"10.675";"10.675";"9.024";"1.651";"36";"36"
"MISSAL";"8.378";"8.378";"7.666";"712";"32";"32"
"PAU DOS FERROS";"19.925";"19.925";"17.330";"2.595";"62";"62"
"SERRA NEGRA";"21.622";"21.622";"17.195";"4.427";"64";"64"
"BALBINOS";"1.505";"1.505";"1.389";"116";"5";"5"
"PASSOS";"77.192";"77.192";"63.889";"13.303";"230";"230"
"NINHEIRA";"7.620";"7.620";"5.628";"1.992";"30";"30"
"ANTAS";"10.158";"10.158";"9.180";"978";"33";"33"
"PLANALTINO";"6.000";"6.000";"5.155";"845";"25";"25"
"CAPELA NOVA";"4.039";"4.039";"3.770";"269";"15";"15"
"EREBANGO";"2.430";"2.430";"2.261";"169";"9";"9"
"CENTRAL DO MARANHÃO";"6.730";"6.730";"5.306";"1.424";"20";"20"
"RIO TINTO";"18.318";"18.318";"14.687";"3.631";"67";"67"
"TAPIRA";"8.793";"8.793";"7.969";"824";"31";"31"
"URANDI";"11.947";"11.947";"9.837";"2.110";"38";"38"
"UNA";"18.897";"18.897";"13.010";"5.887";"69";"69"
"CAMPO AZUL";"3.649";"3.649";"3.298";"351";"12";"12"
"NOVA IGUAÇU DE GOIÁS";"2.662";"2.662";"2.401";"261";"7";"7"
"SILVES";"6.316";"6.316";"5.468";"848";"20";"20"
"BRASILEIRA";"6.824";"6.824";"5.512";"1.312";"25";"25"
"MONTANHA";"13.667";"13.667";"11.482";"2.185";"41";"41"
"SÃO FELIPE DO OESTE";"5.216";"5.216";"4.259";"957";"24";"24"
"MAIRINQUE";"35.506";"35.506";"29.587";"5.919";"101";"101"
"JUQUIÁ";"17.255";"17.255";"12.477";"4.778";"61";"61"
"SÃO BERNARDINO";"2.240";"2.240";"2.143";"97";"8";"8"
"MINISTRO ANDREAZZA";"7.505";"7.505";"6.287";"1.218";"23";"23"
"PAUINI";"9.064";"9.064";"6.591";"2.473";"25";"25"
"BARRA DO CHAPÉU";"4.629";"4.629";"3.900";"729";"14";"14"
"VITÓRIA BRASIL";"1.572";"1.572";"1.450";"122";"6";"6"
"JUAZEIRO";"133.846";"133.846";"111.495";"22.351";"417";"417"
"QUATIGUÁ";"6.221";"6.221";"5.610";"611";"17";"17"
"CANGUÇU";"44.513";"44.513";"38.177";"6.336";"142";"142"
"PIRIPIRI";"41.609";"41.609";"35.359";"6.250";"148";"148"
"TERRA ALTA";"9.722";"9.722";"8.334";"1.388";"31";"31"
"LAGOA";"4.401";"4.401";"3.960";"441";"17";"17"
"PIEDADE DE PONTE NOVA";"3.760";"3.760";"3.396";"364";"12";"12"
"CAMUTANGA";"7.289";"7.289";"6.284";"1.005";"20";"20"
"ANGICAL DO PIAUÍ";"6.760";"6.760";"5.821";"939";"25";"25"
"GODOFREDO VIANA";"6.775";"6.775";"5.671";"1.104";"25";"25"
"VIEIRÓPOLIS";"5.030";"5.030";"4.530";"500";"19";"19"
"SUZANÁPOLIS";"2.822";"2.822";"2.571";"251";"8";"8"
"PEDRA AZUL";"19.061";"19.061";"13.772";"5.289";"64";"64"
"RESPLENDOR";"13.000";"13.000";"10.696";"2.304";"52";"52"
"ITABORAÍ";"158.178";"158.178";"133.644";"24.534";"434";"434"
"BELA VISTA DO PIAUÍ";"2.833";"2.833";"2.579";"254";"10";"10"
"ESMERALDA";"2.671";"2.671";"2.464";"207";"11";"11"
"TRÊS COROAS";"17.490";"17.490";"15.601";"1.889";"53";"53"
"BOCAIÚVA DO SUL";"8.204";"8.204";"7.265";"939";"28";"28"
"BOA VISTA DO BURICÁ";"5.698";"5.698";"5.261";"437";"19";"19"
"SÃO JOSÉ DO HORTÊNCIO";"3.512";"3.512";"3.288";"224";"10";"10"
"BELA VISTA DO PARAÍSO";"12.323";"12.323";"10.950";"1.373";"36";"36"
"JUREMA";"15.389";"15.389";"12.566";"2.823";"54";"54"
"URUARÁ";"26.811";"26.811";"22.136";"4.675";"84";"84"
"BOQUEIRÃO";"12.973";"12.973";"11.707";"1.266";"45";"45"
"MIRANTE DA SERRA";"9.532";"9.532";"7.506";"2.026";"31";"31"
"EUCLIDES DA CUNHA PAULISTA";"7.895";"7.895";"6.308";"1.587";"21";"21"
"CAMPO FLORIDO";"5.335";"5.335";"4.859";"476";"20";"20"
"DORES DE GUANHÃES";"4.949";"4.949";"4.326";"623";"18";"18"
"FORMOSA DO RIO PRETO";"16.723";"16.723";"14.383";"2.340";"60";"60"
"SÃO JOSÉ DE CAIANA";"5.042";"5.042";"3.778";"1.264";"15";"15"
"SÃO JORGE DO IVAÍ";"4.483";"4.483";"4.145";"338";"15";"15"
"SANTA MARIA DAS BARREIRAS";"14.609";"14.609";"11.405";"3.204";"45";"45"
"ESTRELA DE ALAGOAS";"10.305";"10.305";"9.105";"1.200";"31";"31"
"VERDEJANTE";"7.400";"7.400";"6.519";"881";"28";"28"
"ABADIA DE GOIÁS";"6.259";"6.259";"5.513";"746";"19";"19"
"JUNCO DO MARANHÃO";"4.621";"4.621";"3.998";"623";"14";"14"
"MOJUÍ DOS CAMPOS";"16.867";"16.867";"13.450";"3.417";"69";"69"
"IPIRANGA DO NORTE";"3.527";"3.527";"2.996";"531";"9";"9"
"TAQUARUSSU";"2.993";"2.993";"2.673";"320";"8";"8"
"HONÓRIO SERPA";"4.815";"4.815";"4.248";"567";"18";"18"
"DAMIANÓPOLIS";"3.340";"3.340";"2.994";"346";"13";"13"
"PASSAGEM FRANCA";"12.398";"12.398";"10.102";"2.296";"50";"50"
"INHANGAPI";"8.428";"8.428";"7.604";"824";"28";"28"
"ITARUMÃ";"5.060";"5.060";"4.418";"642";"15";"15"
"FORTIM";"12.224";"12.224";"11.089";"1.135";"36";"36"
"LOGRADOURO";"3.112";"3.112";"2.769";"343";"12";"12"
"PATROCÍNIO PAULISTA";"10.233";"10.233";"8.676";"1.557";"28";"28"
"JOÃO MONLEVADE";"57.649";"57.649";"46.707";"10.942";"186";"186"
"ANTÔNIO MARTINS";"5.891";"5.891";"5.354";"537";"22";"22"
"ALTO RIO DOCE";"10.105";"10.105";"8.723";"1.382";"33";"33"
"BELFORD ROXO";"314.063";"314.063";"261.128";"52.935";"874";"874"
"COLÔNIA DO PIAUÍ";"6.192";"6.192";"4.598";"1.594";"29";"29"
"PORTO ALEGRE DO TOCANTINS";"2.259";"2.259";"1.965";"294";"8";"8"
"ARACAJU";"367.175";"367.173";"334.413";"32.760";"1.056";"1.056"
"CRISTALÂNDIA DO PIAUÍ";"5.438";"5.438";"4.808";"630";"23";"23"
"AMORINÓPOLIS";"3.850";"3.850";"3.566";"284";"14";"14"
"PONTO DOS VOLANTES";"8.179";"8.179";"6.426";"1.753";"26";"26"
"SAUDADE DO IGUAÇU";"4.103";"4.103";"3.709";"394";"14";"14"
"DESCANSO";"6.805";"6.805";"6.375";"430";"26";"26"
"PALMITOS";"12.793";"12.793";"11.303";"1.490";"50";"50"
"GROAÍRAS";"8.628";"8.628";"7.399";"1.229";"28";"28"
"CAPINÓPOLIS";"11.298";"11.298";"10.104";"1.194";"43";"43"
"CONSELHEIRO MAIRINCK";"3.100";"3.100";"2.795";"305";"11";"11"
"BREJO SANTO";"33.774";"33.774";"27.181";"6.593";"123";"123"
"BUÍQUE";"36.761";"36.761";"27.534";"9.227";"106";"106"
"RURÓPOLIS";"16.563";"16.563";"13.249";"3.314";"62";"62"
"VISEU";"37.926";"37.926";"30.170";"7.756";"121";"121"
"TUPIRATINS";"1.573";"1.573";"1.455";"118";"4";"4"
"CACHOEIRA";"23.396";"23.396";"20.145";"3.251";"78";"78"
"MARACAÇUMÉ";"13.185";"13.185";"10.592";"2.593";"43";"43"
"IRAUÇUBA";"17.468";"17.468";"14.731";"2.737";"58";"58"
"RIBEIRA";"2.924";"2.924";"2.638";"286";"11";"11"
"TAQUARITINGA";"40.005";"40.005";"31.975";"8.030";"115";"115"
"TAIÓ";"13.015";"13.015";"11.933";"1.082";"38";"38"
"MATUPÁ";"10.137";"10.137";"8.338";"1.799";"27";"27"
"NOVA EUROPA";"7.960";"7.960";"6.631";"1.329";"24";"24"
"JÚLIO MESQUITA";"3.701";"3.701";"3.359";"342";"11";"11"
"NOVA GLÓRIA";"7.387";"7.387";"6.271";"1.116";"26";"26"
"SANTO ANASTÁCIO";"17.133";"17.133";"13.542";"3.591";"46";"46"
"TRÊS MARIAS";"22.105";"22.105";"18.359";"3.746";"74";"74"
"ARARUAMA";"88.251";"88.251";"72.032";"16.219";"233";"233"
"CASEIROS";"2.616";"2.616";"2.505";"111";"9";"9"
"AIMORÉS";"18.454";"18.454";"15.557";"2.897";"61";"61"
"CANAPI";"11.376";"11.376";"10.228";"1.148";"40";"40"
"PORTO ACRE";"12.172";"12.172";"10.227";"1.945";"37";"37"
"BARRA DO PIRAÍ";"70.972";"70.972";"59.103";"11.869";"212";"212"
"SALGADINHO";"9.142";"9.142";"8.003";"1.139";"32";"32"
"PONTALINA";"14.514";"14.514";"12.692";"1.822";"47";"47"
"ALTO PARAGUAI";"5.832";"5.832";"4.988";"844";"26";"26"
"ITAJAÍ";"130.209";"130.209";"110.511";"19.698";"355";"355"
"NATIVIDADE";"18.673";"18.673";"15.930";"2.743";"63";"63"
"TEOFILÂNDIA";"16.767";"16.767";"13.257";"3.510";"59";"59"
"SURUBIM";"42.774";"42.774";"35.140";"7.634";"119";"119"
"FLORIANO PEIXOTO";"2.023";"2.023";"1.923";"100";"6";"6"
"CACIMBA DE DENTRO";"13.221";"13.221";"10.706";"2.515";"44";"44"
"SANTANA DA PONTE PENSA";"1.558";"1.558";"1.445";"113";"6";"6"
"EUGÊNIO DE CASTRO";"2.585";"2.585";"2.391";"194";"9";"9"
"VACARIA";"44.616";"44.616";"37.344";"7.272";"140";"140"
"QUARAÍ";"18.723";"18.723";"14.858";"3.865";"55";"55"
"PINHAL GRANDE";"3.916";"3.916";"3.551";"365";"15";"15"
"LAGOA DO CARRO";"13.152";"13.152";"11.417";"1.735";"36";"36"
"PORTO DA FOLHA";"19.249";"19.249";"17.672";"1.577";"72";"72"
"CRUZÍLIA";"11.818";"11.818";"9.963";"1.855";"32";"32"
"PINDAMONHANGABA";"105.038";"105.038";"86.754";"18.284";"312";"312"
"COMENDADOR GOMES";"2.564";"2.564";"2.348";"216";"8";"8"
"PRESIDENTE TANCREDO NEVES";"19.022";"19.022";"15.762";"3.260";"53";"53"
"IRARÁ";"21.510";"21.510";"18.236";"3.274";"69";"69"
"ESTÂNCIA VELHA";"31.672";"31.672";"27.936";"3.736";"88";"88"
"BANANEIRAS";"17.614";"17.614";"13.501";"4.113";"66";"66"
"NORTELÂNDIA";"5.100";"5.100";"4.517";"583";"12";"12"
"MIMOSO DO SUL";"22.023";"22.023";"18.094";"3.929";"68";"68"
"ILHA COMPRIDA";"7.933";"7.933";"6.395";"1.538";"24";"24"
"BOFETE";"7.924";"7.924";"6.370";"1.554";"21";"21"
"SÃO JOSÉ DOS AUSENTES";"3.162";"3.162";"2.886";"276";"12";"12"
"MÃE DO RIO";"23.497";"23.497";"19.138";"4.359";"74";"74"
"FONTE BOA";"13.194";"13.194";"10.767";"2.427";"38";"38"
"NOVA LACERDA";"4.560";"4.560";"3.685";"875";"13";"13"
"MACAPÁ";"253.365";"253.365";"214.427";"38.938";"693";"693"
"SANTA RITA DO NOVO DESTINO";"2.790";"2.790";"2.570";"220";"10";"10"
"UNIÃO DO SUL";"2.627";"2.627";"2.068";"559";"8";"8"
"PALMEIRAS DO TOCANTINS";"4.424";"4.424";"3.798";"626";"14";"14"
"PELOTAS";"250.790";"250.790";"207.719";"43.071";"676";"676"
"SENGÉS";"14.336";"14.336";"11.801";"2.535";"46";"46"
"CALMON";"3.280";"3.280";"2.948";"332";"13";"13"
"PUREZA";"7.578";"7.578";"6.779";"799";"25";"25"
"NAVIRAÍ";"34.635";"34.635";"28.195";"6.440";"102";"102"
"MANDAGUARI";"26.438";"26.438";"22.219";"4.219";"79";"79"
"CAPIM BRANCO";"7.317";"7.317";"6.444";"873";"22";"22"
"BOM JESUS DO ITABAPOANA";"27.934";"27.934";"23.339";"4.595";"90";"90"
"MIRINZAL";"11.081";"11.081";"8.812";"2.269";"32";"32"
"IPAPORANGA";"10.125";"10.125";"7.382";"2.743";"37";"37"
"CABREÚVA";"31.067";"31.067";"26.502";"4.565";"83";"83"
"CUIABÁ";"397.626";"397.626";"332.112";"65.514";"1.060";"1.060"
"BOA VENTURA DE SÃO ROQUE";"4.968";"4.968";"4.469";"499";"20";"20"
"ITAPEMIRIM";"26.338";"26.338";"22.096";"4.242";"87";"87"
"MANAUS";"1.178.120";"1.178.120";"1.006.184";"171.936";"3.146";"3.146"
"SANTA MARIA DE ITABIRA";"8.555";"8.555";"7.107";"1.448";"25";"25"
"SANTA CRUZ DE MINAS";"6.256";"6.256";"5.556";"700";"17";"17"
"AJURICABA";"6.090";"6.090";"5.447";"643";"20";"20"
"ÁGUA PRETA";"22.604";"22.604";"17.694";"4.910";"61";"61"
"GRACCHO CARDOSO";"4.961";"4.961";"4.823";"138";"23";"23"
"CACONDE";"14.398";"14.398";"11.573";"2.825";"37";"37"
"RUBELITA";"7.753";"7.753";"6.088";"1.665";"38";"38"
"MATUTINA";"3.385";"3.385";"2.967";"418";"12";"12"
"GRAVATAL";"8.469";"8.469";"7.811";"658";"26";"26"
"RIO GRANDE DA SERRA";"33.457";"33.457";"28.364";"5.093";"99";"99"
"JEQUITIBÁ";"5.445";"5.445";"4.830";"615";"19";"19"
"ITAOCARA";"18.823";"18.823";"16.296";"2.527";"65";"65"
"JATAIZINHO";"9.548";"9.548";"8.136";"1.412";"28";"28"
"ANTONINA DO NORTE";"6.557";"6.557";"5.173";"1.384";"22";"22"
"RESERVA DO CABAÇAL";"2.060";"2.060";"1.857";"203";"5";"5"
"PIMENTA BUENO";"25.627";"25.627";"20.002";"5.625";"79";"79"
"ITABERÁ";"13.927";"13.927";"11.455";"2.472";"45";"45"
"BARÃO DE ANTONINA";"2.457";"2.457";"2.198";"259";"8";"8"
"INDIANÓPOLIS";"8.767";"8.767";"7.776";"991";"28";"28"
"MÁRIO CAMPOS";"9.757";"9.757";"8.522";"1.235";"28";"28"
"SÃO BENTO ABADE";"4.041";"4.041";"3.598";"443";"11";"11"
"SÃO NICOLAU";"4.918";"4.918";"4.322";"596";"19";"19"
"PEDRO OSÓRIO";"6.647";"6.647";"5.724";"923";"25";"25"
"LAGOA DOS TRÊS CANTOS";"1.547";"1.547";"1.492";"55";"5";"5"
"ÁGUA LIMPA";"2.217";"2.217";"2.086";"131";"10";"10"
"PARECI NOVO";"3.165";"3.165";"2.934";"231";"10";"10"
"CHAPADÃO DO LAGEADO";"2.281";"2.281";"2.207";"74";"9";"9"
"AFONSO CLÁUDIO";"25.060";"25.060";"20.439";"4.621";"77";"77"
"PIUMHI";"24.883";"24.883";"20.970";"3.913";"68";"68"
"SANTA RITA DE CALDAS";"7.331";"7.331";"6.426";"905";"21";"21"
"ESTRELA";"24.504";"24.504";"21.364";"3.140";"74";"74"
"MARCIONÍLIO SOUZA";"7.634";"7.634";"5.928";"1.706";"28";"28"
"JACINTO MACHADO";"8.972";"8.972";"8.394";"578";"24";"24"
"EPITACIOLÂNDIA";"10.139";"10.139";"8.394";"1.745";"34";"34"
"VARGEM";"9.963";"9.963";"8.495";"1.468";"31";"31"
"HORTOLÂNDIA";"132.803";"132.803";"112.284";"20.519";"345";"345"
"CRUZ DO ESPÍRITO SANTO";"14.167";"14.167";"12.396";"1.771";"42";"42"
"UARINI";"6.694";"6.694";"5.389";"1.305";"20";"20"
"SANTA BÁRBARA DO LESTE";"6.965";"6.965";"6.050";"915";"21";"21"
"CAPITÃO GERVÁSIO OLIVEIRA";"3.308";"3.308";"2.684";"624";"15";"15"
"PANORAMA";"10.767";"10.767";"8.953";"1.814";"29";"29"
"MACAUBAL";"6.069";"6.069";"5.290";"779";"17";"17"
"ESTIVA";"8.723";"8.723";"7.755";"968";"29";"29"
"SANTA QUITÉRIA";"35.076";"35.076";"27.664";"7.412";"123";"123"
"SÃO JOSÉ DE PIRANHAS";"14.830";"14.830";"11.929";"2.901";"54";"54"
"AVARÉ";"61.746";"61.746";"49.600";"12.146";"156";"156"
"RIO BONITO DO IGUAÇU";"10.167";"10.167";"8.658";"1.509";"38";"38"
"APERIBÉ";"8.764";"8.764";"7.916";"848";"27";"27"
"SÃO SEBASTIÃO DA BELA VISTA";"4.550";"4.550";"4.185";"365";"14";"14"
"NOVA FÁTIMA";"13.266";"13.266";"11.602";"1.664";"43";"43"
"DOUTOR MAURÍCIO CARDOSO";"4.543";"4.543";"4.003";"540";"17";"17"
"CORUMBATAÍ DO SUL";"3.454";"3.454";"3.000";"454";"15";"15"
"ESPERANTINÓPOLIS";"14.083";"14.083";"11.143";"2.940";"56";"56"
"SÃO FRANCISCO DO PARÁ";"12.513";"12.513";"11.089";"1.424";"43";"43"
"BOA VENTURA";"5.391";"5.391";"4.373";"1.018";"20";"20"
"FARIA LEMOS";"2.819";"2.819";"2.701";"118";"12";"12"
"SÃO SEBASTIÃO DO RIO VERDE";"1.951";"1.951";"1.777";"174";"5";"5"
"IRAÍ DE MINAS";"5.858";"5.858";"5.317";"541";"16";"16"
"CONCÓRDIA";"53.541";"53.541";"46.319";"7.222";"177";"177"
"SÃO LUÍS";"678.070";"678.070";"546.770";"131.300";"1.867";"1.867"
"CAMBÉ";"71.612";"71.612";"60.459";"11.153";"197";"197"
"ÉRICO CARDOSO";"9.127";"9.127";"7.207";"1.920";"33";"33"
"CANARANA";"29.940";"29.940";"24.883";"5.057";"96";"96"
"PORTO REAL DO COLÉGIO";"12.629";"12.629";"11.793";"836";"43";"43"
"RIBEIRÃO DO SUL";"3.759";"3.759";"3.350";"409";"10";"10"
"ARAÚJOS";"6.284";"6.284";"5.630";"654";"19";"19"
"ITATIAIA";"22.876";"22.876";"19.517";"3.359";"64";"64"
"IPIAÚ";"30.158";"30.158";"25.118";"5.040";"107";"107"
"JUSSIAPE";"6.503";"6.503";"5.546";"957";"24";"24"
"SÃO GABRIEL";"61.665";"61.665";"50.981";"10.684";"233";"233"
"RIO PARDO";"30.429";"30.429";"26.064";"4.365";"97";"97"
