"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"CAMPO LIMPO DE GOIÁS";"5.603";"5.603";"5.060";"543";"16";"16"
"PÉ DE SERRA";"10.293";"10.293";"9.202";"1.091";"30";"30"
"BRAZÓPOLIS";"12.723";"12.723";"10.297";"2.426";"35";"35"
"JÓIA";"6.719";"6.719";"6.026";"693";"27";"27"
"ALTINHO";"17.502";"17.502";"14.283";"3.219";"54";"54"
"BARRA DO GARÇAS";"40.840";"40.840";"32.188";"8.652";"105";"105"
"PIRAJUBA";"3.702";"3.702";"3.264";"438";"11";"11"
"DOM CAVATI";"4.967";"4.967";"4.545";"422";"15";"15"
"DIORAMA";"2.223";"2.223";"2.091";"132";"8";"8"
"REMANSO";"28.331";"28.331";"23.724";"4.607";"96";"96"
"PORTO MAUÁ";"2.332";"2.332";"2.222";"110";"9";"9"
"BALNEÁRIO RINCÃO";"9.803";"9.803";"8.748";"1.055";"26";"26"
"MONTE CASTELO";"10.123";"10.123";"8.877";"1.246";"30";"30"
"BRASIL NOVO";"12.534";"12.534";"10.821";"1.713";"39";"39"
"LADÁRIO";"12.997";"12.997";"10.299";"2.698";"35";"35"
"PARAGUAÇU PAULISTA";"31.800";"31.800";"25.070";"6.730";"85";"85"
"FLORÍNEA";"2.754";"2.754";"2.473";"281";"7";"7"
"SANDOLÂNDIA";"3.543";"3.543";"3.068";"475";"12";"12"
"ITAPORANGA";"28.252";"28.252";"23.307";"4.945";"84";"84"
"SANDOVALINA";"3.497";"3.497";"3.153";"344";"10";"10"
"SABARÁ";"85.441";"85.441";"72.791";"12.650";"213";"213"
"BARRA LONGA";"5.567";"5.567";"4.692";"875";"23";"23"
"TRÊS PALMEIRAS";"3.658";"3.658";"3.435";"223";"12";"12"
"MARILENA";"5.994";"5.994";"5.045";"949";"16";"16"
"CAPANEMA";"59.350";"59.350";"52.201";"7.149";"217";"217"
"APORÉ";"3.524";"3.524";"2.937";"587";"11";"11"
"DEPUTADO IRAPUAN PINHEIRO";"6.777";"6.777";"5.778";"999";"24";"24"
"NOSSA SENHORA DO LIVRAMENTO";"10.293";"10.293";"9.691";"602";"39";"39"
"SANTA BRANCA";"12.043";"12.043";"9.771";"2.272";"33";"33"
"POUSO ALEGRE";"94.207";"94.207";"78.769";"15.438";"284";"284"
"SALTO DA DIVISA";"4.924";"4.924";"4.301";"623";"17";"17"
"CAMBUQUIRA";"10.009";"10.009";"8.283";"1.726";"27";"27"
"SERRA DA SAUDADE";"1.107";"1.107";"1.031";"76";"4";"4"
"RIBEIRÃO DO PINHAL";"11.432";"11.432";"8.684";"2.748";"35";"35"
"MIRANORTE";"10.222";"10.222";"8.348";"1.874";"37";"37"
"CUNHA";"19.634";"19.634";"16.377";"3.257";"57";"57"
"CALÇADO";"7.911";"7.911";"6.395";"1.516";"21";"21"
"CONGO";"4.593";"4.593";"4.068";"525";"15";"15"
"PRESIDENTE BERNARDES";"16.555";"16.555";"13.764";"2.791";"56";"56"
"PARATINGA";"21.528";"21.528";"17.991";"3.537";"74";"74"
"CAMAMU";"24.545";"24.545";"18.406";"6.139";"72";"72"
"CONCEIÇÃO DO CANINDÉ";"4.332";"4.332";"3.568";"764";"19";"19"
"RIBEIRÃO CASCALHEIRA";"6.124";"6.124";"5.253";"871";"21";"21"
"RIO DOS BOIS";"2.023";"2.023";"1.896";"127";"6";"6"
"VISCONDE DO RIO BRANCO";"29.072";"29.072";"25.523";"3.549";"92";"92"
"EMBU-GUAÇU";"49.581";"49.581";"40.840";"8.741";"130";"130"
"PINTADAS";"8.012";"8.012";"6.551";"1.461";"32";"32"
"BARRA DO ROCHA";"4.666";"4.666";"3.809";"857";"17";"17"
"SAPOPEMA";"5.404";"5.404";"4.777";"627";"20";"20"
"BREJINHO";"16.234";"16.234";"13.586";"2.648";"48";"48"
"URUAÇU";"26.033";"26.033";"21.076";"4.957";"82";"82"
"PORTELÂNDIA";"3.594";"3.594";"3.258";"336";"10";"10"
"TUFILÂNDIA";"6.334";"6.334";"5.254";"1.080";"22";"22"
"IBIAPINA";"18.325";"18.325";"13.520";"4.805";"61";"61"
"CAMPO ALEGRE";"28.187";"28.187";"25.326";"2.861";"91";"91"
"CAFEZAL DO SUL";"3.533";"3.533";"3.239";"294";"14";"14"
"MAETINGA";"6.965";"6.965";"5.426";"1.539";"20";"20"
"SÃO VICENTE DO SUL";"7.093";"7.093";"5.983";"1.110";"22";"22"
"VERA CRUZ DO OESTE";"7.039";"7.039";"6.078";"961";"26";"26"
"JARDIM ALEGRE";"9.573";"9.573";"8.063";"1.510";"34";"34"
"BORRAZÓPOLIS";"7.062";"7.062";"5.999";"1.063";"38";"38"
"CÓRREGO DO OURO";"2.654";"2.654";"2.497";"157";"8";"8"
"ARIQUEMES";"62.096";"62.096";"48.833";"13.263";"173";"173"
"RIO PIRACICABA";"12.338";"12.338";"10.136";"2.202";"39";"39"
"DIAMANTINA";"35.414";"35.414";"27.239";"8.175";"108";"108"
"BREJO DA MADRE DE DEUS";"30.336";"30.336";"25.594";"4.742";"85";"85"
"BUTIÁ";"16.596";"16.596";"13.994";"2.602";"51";"51"
"MEDIANEIRA";"31.742";"31.742";"26.513";"5.229";"95";"95"
"MATOS COSTA";"2.508";"2.508";"2.220";"288";"13";"13"
"PORTO RICO DO MARANHÃO";"6.522";"6.522";"5.881";"641";"20";"20"
"PASSAGEM";"6.782";"6.782";"6.208";"574";"21";"21"
"CARNEIROS";"5.333";"5.333";"4.834";"499";"18";"18"
"BIQUINHAS";"2.832";"2.832";"2.659";"173";"8";"8"
"ANGRA DOS REIS";"117.456";"117.456";"96.372";"21.084";"330";"330"
"GENERAL CÂMARA";"6.887";"6.887";"5.941";"946";"24";"24"
"BENJAMIN CONSTANT DO SUL";"1.879";"1.879";"1.656";"223";"8";"8"
"MARCELINO VIEIRA";"6.388";"6.388";"5.764";"624";"20";"20"
"BANDEIRA";"4.303";"4.303";"3.639";"664";"14";"14"
"AVELINÓPOLIS";"3.171";"3.171";"2.964";"207";"9";"9"
"SANTA QUITÉRIA DO MARANHÃO";"19.642";"19.642";"15.681";"3.961";"62";"62"
"MONTEIRO";"23.765";"23.765";"19.404";"4.361";"87";"87"
"DELMIRO GOUVEIA";"31.257";"31.257";"27.858";"3.399";"131";"131"
"CAJAMAR";"52.223";"52.223";"45.702";"6.521";"144";"144"
"SÃO JOÃO DAS DUAS PONTES";"2.409";"2.409";"2.265";"144";"7";"7"
"CACHOEIRA DA PRATA";"3.373";"3.373";"3.117";"256";"11";"11"
"CARMO DE MINAS";"9.577";"9.577";"8.164";"1.413";"28";"28"
"WANDERLEY";"10.005";"10.005";"8.793";"1.212";"36";"36"
"PONTAL DO PARANÁ";"16.793";"16.793";"13.871";"2.922";"49";"49"
"LINDOESTE";"4.974";"4.974";"4.408";"566";"18";"18"
"BENTO GONÇALVES";"80.892";"80.892";"70.460";"10.432";"224";"224"
